timestamp,P_bars,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
2017-08-17,,,,,,,,,
2017-08-18,,,,,,,,,
2017-08-19,,,,,,,,,
2017-08-20,,,,,,,,,
2017-08-21,,,,,,,,,
2017-08-22,,,,,,,,,
2017-08-23,,,,,,,,,
2017-08-24,,,,,,,,,
2017-08-25,,,,,,,,,
2017-08-26,,,,,,,,,
2017-08-27,,,,,,,,,
2017-08-28,,,,,,,,,
2017-08-29,,,,,,,,,
2017-08-30,,,,,,,,,
2017-08-31,,,,,,,,,
2017-09-01,,,,,,,,,
2017-09-02,,,,,,,,,
2017-09-03,,,,,,,,,
2017-09-04,,,,,,,,,
2017-09-05,,,,,,,,,
2017-09-06,,,,,,,,,
2017-09-07,,,,,,,,,
2017-09-08,,,,,,,,,
2017-09-09,,,,,,,,,
2017-09-10,,,,,,,,,
2017-09-11,,,,,,,,,
2017-09-12,,,,,,,,,
2017-09-13,,,,,,,,,
2017-09-14,,,,,,,,,
2017-09-15,30.0,30.0,15.0,7.5,0.9587023067431689,15.0,30.0,6.0,0.6925884076490457
2017-09-16,30.0,30.0,7.5,6.0,0.9515675685758268,15.0,30.0,6.0,0.6374580110664025
2017-09-17,30.0,30.0,6.0,7.5,0.9401488694864446,15.0,30.0,6.0,0.5544844482817367
2017-09-18,30.0,30.0,6.0,7.5,0.9236831039718348,15.0,10.0,30.0,0.5078918331282076
2017-09-19,30.0,30.0,6.0,10.0,0.9047861826658151,10.0,15.0,5.0,0.4722625250640992
2017-09-20,30.0,30.0,6.0,5.0,0.8846288819814995,10.0,5.0,3.3333333333333335,0.45839167952485643
2017-09-21,30.0,30.0,5.0,10.0,0.8720315645758183,10.0,3.3333333333333335,5.0,0.47770453878908903
2017-09-22,30.0,30.0,15.0,5.0,0.8687466702211512,10.0,3.3333333333333335,5.0,0.5246765075981796
2017-09-23,30.0,30.0,15.0,10.0,0.8720177686813745,10.0,3.3333333333333335,5.0,0.5798327688692996
2017-09-24,30.0,30.0,15.0,10.0,0.8805436673491175,10.0,15.0,3.3333333333333335,0.6296434575978863
2017-09-25,30.0,30.0,15.0,10.0,0.8920377546524484,10.0,15.0,3.3333333333333335,0.6622947871780669
2017-09-26,30.0,30.0,15.0,10.0,0.9057998831036749,10.0,15.0,3.3333333333333335,0.6930230830934404
