labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
regime3,range,2017-09-15,2017-09-28,13,13,156,30.0,15.0,6.75,,,,0.8207140271872599,433.0,439.5,446.0
regime3,down,2017-09-28,2017-09-29,1,1,12,30.0,15.0,10.0,,,,0.8144573854609969,446.0,446.5,447.0
regime3,range,2017-09-29,2017-10-13,14,14,168,30.0,15.0,10.0,,,,0.8892657859559052,447.0,454.0,461.0
regime3,up,2017-10-13,2017-11-05,23,23,276,30.0,15.0,10.0,,,,0.9482586218596906,461.0,472.5,484.0
regime3,range,2017-11-05,2017-11-06,1,1,12,30.0,8.75,6.0,,,,0.8180877363590293,484.0,484.5,485.0
regime3,up,2017-11-06,2018-01-31,86,86,1032,30.0,15.0,10.0,,,,0.9337422251218931,485.0,528.0,571.0
regime3,range,2018-01-31,2018-02-09,9,9,108,30.0,7.5,6.0,,,,0.7975236205364917,571.0,575.5,580.0
regime3,down,2018-02-09,2018-02-28,19,19,228,30.0,15.0,8.75,,,,0.940522192947944,580.0,589.5,599.0
regime3,range,2018-02-28,2018-03-13,13,13,156,22.5,15.0,10.0,,,,0.8999416185659065,599.0,605.5,612.0
regime3,down,2018-03-13,2018-04-29,47,47,564,30.0,15.0,10.0,,,,0.9414161343373767,612.0,635.5,659.0
regime3,range,2018-04-29,2018-05-23,24,24,288,30.0,15.0,10.0,,,,0.8672301984186719,659.0,671.0,683.0
regime3,down,2018-05-23,2018-06-15,23,23,276,30.0,15.0,10.0,,,,0.9104934571961429,683.0,694.5,706.0
regime3,range,2018-06-15,2018-06-16,1,1,12,15.0,18.0,4.903846153846153,,,,0.813654770045044,706.0,706.5,707.0
regime3,down,2018-06-16,2018-07-24,38,38,456,30.0,15.0,10.0,,,,0.8911542765938116,707.0,726.0,745.0
regime3,range,2018-07-24,2018-08-11,18,18,216,30.0,15.0,7.5,,,,0.9635932715738174,745.0,754.0,763.0
