labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
phase5,distribution,2017-08-19 16:00:00,2017-09-14 22:00:00,26,313,313,,,,,,,,406.0,419.0,432.0
phase5,bear,2017-09-14 22:00:00,2017-09-15 00:00:00,1,1,1,,,,,,,,432.0,432.5,433.0
phase5,distribution,2017-09-15 00:00:00,2017-09-15 06:00:00,1,3,3,,,,,,,,433.0,433.0,433.0
phase5,bear,2017-09-15 06:00:00,2017-09-15 12:00:00,1,3,3,,,,,,,,433.0,433.0,433.0
phase5,distribution,2017-09-15 12:00:00,2017-10-13 04:00:00,27,332,332,360.0,180.0,120.0,,,,0.8447963234122313,433.0,447.0,461.0
phase5,accumulation,2017-10-13 04:00:00,2017-10-15 12:00:00,2,28,28,360.0,180.0,120.0,,,,0.935823850436294,461.0,462.0,463.0
phase5,distribution,2017-10-15 12:00:00,2017-11-03 14:00:00,19,229,229,360.0,180.0,120.0,,,,0.9468884625467449,463.0,473.0,482.0
phase5,accumulation,2017-11-03 14:00:00,2017-11-03 20:00:00,1,3,3,360.0,90.0,72.0,,,,0.8631285396721281,482.0,482.0,482.0
phase5,distribution,2017-11-03 20:00:00,2017-11-28 06:00:00,24,293,293,360.0,180.0,120.0,,,,0.9123621068212623,482.0,495.0,507.0
phase5,accumulation,2017-11-28 06:00:00,2017-11-29 18:00:00,1,18,18,360.0,180.0,120.0,,,,0.9602587352984662,507.0,508.0,508.0
phase5,distribution,2017-11-29 18:00:00,2017-11-30 00:00:00,1,3,3,360.0,180.0,120.0,,,,0.9659765435954438,508.0,508.0,509.0
phase5,expansion,2017-11-30 00:00:00,2017-11-30 06:00:00,1,3,3,360.0,180.0,120.0,,,,0.970728213274647,509.0,509.0,509.0
phase5,distribution,2017-11-30 06:00:00,2017-12-03 12:00:00,3,39,39,360.0,180.0,120.0,,,,0.9744205763551544,509.0,510.0,512.0
phase5,accumulation,2017-12-03 12:00:00,2017-12-04 10:00:00,1,11,11,360.0,120.0,180.0,,,,0.9770386422529075,512.0,512.5,513.0
phase5,distribution,2017-12-04 10:00:00,2017-12-06 10:00:00,2,24,24,360.0,120.0,72.0,,,,0.9743985907064896,513.0,514.0,515.0
phase5,accumulation,2017-12-06 10:00:00,2017-12-07 22:00:00,1,18,18,360.0,120.0,72.0,,,,0.9695957275384265,515.0,516.0,516.0
phase5,expansion,2017-12-07 22:00:00,2017-12-08 08:00:00,1,5,5,360.0,120.0,180.0,,,,0.9676723537226192,516.0,517.0,517.0
phase5,distribution,2017-12-08 08:00:00,2017-12-08 20:00:00,1,6,6,360.0,120.0,180.0,,,,0.9674735605471214,517.0,517.0,517.0
phase5,expansion,2017-12-08 20:00:00,2017-12-09 00:00:00,1,2,2,360.0,120.0,180.0,,,,0.9662331337050848,517.0,517.0,518.0
phase5,distribution,2017-12-09 00:00:00,2017-12-09 02:00:00,1,1,1,360.0,180.0,120.0,,,,0.963752280021012,518.0,518.0,518.0
phase5,expansion,2017-12-09 02:00:00,2017-12-09 04:00:00,1,1,1,360.0,180.0,120.0,,,,0.963752280021012,518.0,518.0,518.0
