labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
regime3,down,2017-09-16 00:00:00,2017-09-18 00:00:00,2,24,24,360.0,90.0,90.0,,,,0.8662500486124614,434.0,435.0,436.0
regime3,range,2017-09-18 00:00:00,2017-09-28 06:00:00,10,123,123,360.0,180.0,120.0,,,,0.7922250983144037,436.0,441.0,446.0
regime3,up,2017-09-28 06:00:00,2017-09-29 02:00:00,1,10,10,360.0,180.0,120.0,,,,0.8067181670576822,446.0,446.0,447.0
regime3,range,2017-09-29 02:00:00,2017-09-30 14:00:00,1,18,18,360.0,180.0,120.0,,,,0.8224868980773457,447.0,447.0,448.0
regime3,up,2017-09-30 14:00:00,2017-10-01 14:00:00,1,12,12,360.0,180.0,120.0,,,,0.8365536447985151,448.0,449.0,449.0
regime3,range,2017-10-01 14:00:00,2017-10-02 00:00:00,1,5,5,360.0,180.0,120.0,,,,0.8421270155592926,449.0,449.0,450.0
regime3,up,2017-10-02 00:00:00,2017-10-03 00:00:00,1,12,12,360.0,120.0,90.0,,,,0.8495486111909434,450.0,450.0,451.0
regime3,range,2017-10-03 00:00:00,2017-10-09 20:00:00,6,82,82,360.0,120.0,90.0,,,,0.8879710321584134,451.0,454.0,457.0
regime3,up,2017-10-09 20:00:00,2017-10-17 22:00:00,8,97,97,360.0,180.0,120.0,,,,0.9348242874160281,457.0,461.0,465.0
regime3,range,2017-10-17 22:00:00,2017-10-21 02:00:00,3,38,38,360.0,180.0,120.0,,,,0.9555127613777804,465.0,467.0,469.0
regime3,up,2017-10-21 02:00:00,2017-10-22 10:00:00,1,16,16,360.0,180.0,120.0,,,,0.9613566952998525,469.0,469.0,470.0
regime3,range,2017-10-22 10:00:00,2017-10-31 22:00:00,9,114,114,360.0,180.0,120.0,,,,0.9546684351365797,470.0,475.0,479.0
regime3,up,2017-10-31 22:00:00,2017-11-04 00:00:00,3,37,37,360.0,90.0,180.0,,,,0.8960998269110697,479.0,481.0,483.0
regime3,range,2017-11-04 00:00:00,2017-11-12 00:00:00,8,96,96,360.0,180.0,120.0,,,,0.857498504002987,483.0,487.0,491.0
regime3,down,2017-11-12 00:00:00,2017-11-13 22:00:00,1,23,23,360.0,180.0,120.0,,,,0.9600845131395858,491.0,491.5,492.0
regime3,range,2017-11-13 22:00:00,2017-11-16 12:00:00,2,31,31,360.0,180.0,120.0,,,,0.9687392390810077,492.0,494.0,495.0
regime3,up,2017-11-16 12:00:00,2017-11-23 06:00:00,6,81,81,360.0,180.0,120.0,,,,0.9411364406731301,495.0,498.0,502.0
regime3,range,2017-11-23 06:00:00,2017-11-26 02:00:00,2,34,34,180.0,120.0,90.0,,,,0.8999008057921138,502.0,503.0,505.0
regime3,up,2017-11-26 02:00:00,2017-12-19 18:00:00,23,284,284,360.0,180.0,120.0,,,,0.9545271894120042,505.0,516.0,528.0
regime3,range,2017-12-19 18:00:00,2017-12-22 00:00:00,2,27,27,360.0,180.0,51.42857142857143,,,,0.90052143866224,528.0,529.0,531.0
regime3,down,2017-12-22 00:00:00,2017-12-26 10:00:00,4,53,53,360.0,180.0,51.42857142857143,,,,0.8949469170454457,531.0,533.0,535.0
regime3,range,2017-12-26 10:00:00,2017-12-30 14:00:00,4,50,50,360.0,180.0,120.0,,,,0.9251065376938823,535.0,537.0,539.0
regime3,down,2017-12-30 14:00:00,2018-01-01 06:00:00,1,20,20,360.0,180.0,120.0,,,,0.9404850795517165,539.0,540.0,541.0
regime3,range,2018-01-01 06:00:00,2018-01-05 14:00:00,4,52,52,360.0,180.0,120.0,,,,0.9287594067507691,541.0,543.0,545.0
regime3,up,2018-01-05 14:00:00,2018-01-08 08:00:00,2,33,33,360.0,180.0,120.0,,,,0.8886859025698669,545.0,546.5,548.0
regime3,range,2018-01-08 08:00:00,2018-01-11 08:00:00,3,36,36,360.0,120.0,180.0,,,,0.8726839336420801,548.0,549.0,551.0
regime3,down,2018-01-11 08:00:00,2018-01-13 00:00:00,1,20,20,360.0,120.0,90.0,,,,0.8607795389691395,551.0,552.0,553.0
regime3,range,2018-01-13 00:00:00,2018-01-16 08:00:00,3,40,40,360.0,120.0,90.0,,,,0.8402443001794724,553.0,554.0,556.0
regime3,down,2018-01-16 08:00:00,2018-01-20 08:00:00,4,48,48,120.0,180.0,360.0,,,,0.8422625728392128,556.0,558.0,560.0
regime3,range,2018-01-20 08:00:00,2018-01-22 16:00:00,2,28,28,360.0,180.0,120.0,,,,0.9168457515743327,560.0,561.0,562.0
regime3,down,2018-01-22 16:00:00,2018-01-24 18:00:00,2,25,25,360.0,180.0,90.0,,,,0.9278806217337142,562.0,563.0,564.0
regime3,range,2018-01-24 18:00:00,2018-01-31 04:00:00,6,77,77,360.0,180.0,90.0,,,,0.9048142403858799,564.0,567.5,571.0
regime3,down,2018-01-31 04:00:00,2018-02-04 00:00:00,3,46,46,360.0,180.0,90.0,,,,0.8447570428709676,571.0,573.0,575.0
regime3,range,2018-02-04 00:00:00,2018-02-15 06:00:00,11,119,119,360.0,90.0,120.0,,,,0.7754398626215604,575.0,581.0,586.0
regime3,up,2018-02-15 06:00:00,2018-02-21 20:00:00,6,79,79,360.0,180.0,120.0,,,,0.921160854936451,586.0,589.0,592.0
regime3,range,2018-02-21 20:00:00,2018-03-03 14:00:00,9,117,117,360.0,180.0,60.0,,,,0.9267726713702178,592.0,597.0,602.0
regime3,up,2018-03-03 14:00:00,2018-03-04 06:00:00,1,8,8,360.0,180.0,120.0,,,,0.9250257319248641,602.0,602.0,603.0
regime3,range,2018-03-04 06:00:00,2018-03-08 16:00:00,4,53,53,360.0,180.0,120.0,,,,0.9059145518023999,603.0,605.0,607.0
regime3,down,2018-03-08 16:00:00,2018-03-12 06:00:00,3,43,43,120.0,180.0,360.0,,,,0.8754816030449775,607.0,609.0,611.0
regime3,range,2018-03-12 06:00:00,2018-03-14 16:00:00,2,29,29,180.0,120.0,360.0,,,,0.8928345609747648,611.0,612.0,613.0
regime3,down,2018-03-14 16:00:00,2018-03-19 12:00:00,4,58,58,180.0,360.0,120.0,,,,0.9361351789795179,613.0,616.0,618.0
regime3,range,2018-03-19 12:00:00,2018-03-29 10:00:00,9,119,119,360.0,180.0,90.0,,,,0.9352774441387204,618.0,623.0,628.0
regime3,down,2018-03-29 10:00:00,2018-04-02 00:00:00,3,43,43,360.0,180.0,90.0,,,,0.8603350809598599,628.0,630.0,632.0
regime3,range,2018-04-02 00:00:00,2018-04-06 10:00:00,4,53,53,180.0,120.0,360.0,,,,0.7718589559442656,632.0,634.0,636.0
regime3,down,2018-04-06 10:00:00,2018-04-07 02:00:00,1,8,8,180.0,360.0,120.0,,,,0.8538682815130834,636.0,636.0,637.0
regime3,range,2018-04-07 02:00:00,2018-04-13 04:00:00,6,73,73,360.0,180.0,120.0,,,,0.9174830333449119,637.0,640.0,643.0
regime3,up,2018-04-13 04:00:00,2018-04-17 02:00:00,3,47,47,360.0,180.0,120.0,,,,0.9310572216070631,643.0,645.0,647.0
regime3,range,2018-04-17 02:00:00,2018-04-21 02:00:00,4,48,48,360.0,180.0,120.0,,,,0.9396458252374452,647.0,649.0,651.0
regime3,up,2018-04-21 02:00:00,2018-04-23 20:00:00,2,33,33,360.0,180.0,120.0,,,,0.9382936551921401,651.0,652.0,653.0
regime3,range,2018-04-23 20:00:00,2018-04-24 00:00:00,1,2,2,360.0,180.0,120.0,,,,0.9371610361387823,653.0,653.0,654.0
