labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
phase6,distribution,2022-01-05,2022-05-09,124,124,1488,30.0,15.0,10.0,,,,0.9047849280404993,604.0,666.0,728.0
phase6,bear,2022-05-09,2023-01-16,252,252,3024,30.0,15.0,10.0,,,,0.8861585684994824,728.0,854.0,980.0
phase6,distribution,2023-01-16,2023-10-30,287,287,3444,30.0,15.0,10.0,,,,0.8683419173067305,980.0,1123.5,1267.0
phase6,accumulation,2023-10-30,2023-11-21,22,22,264,30.0,15.0,10.0,,,,0.9597421018392001,1267.0,1278.0,1289.0
phase6,expansion,2023-11-21,2023-11-22,1,1,12,30.0,15.0,10.0,,,,0.8940346373315002,1289.0,1289.5,1290.0
phase6,accumulation,2023-11-22,2023-12-11,19,19,228,30.0,10.0,10.0,,,,0.641968410219738,1290.0,1299.5,1309.0
phase6,expansion,2023-12-11,2023-12-15,4,4,48,30.0,15.0,10.0,,,,0.9664257297007257,1309.0,1311.0,1313.0
phase6,accumulation,2023-12-15,2024-01-08,24,24,288,15.0,15.0,10.0,,,,0.8169340113489697,1313.0,1325.0,1337.0
phase6,expansion,2024-01-08,2024-01-10,2,2,24,15.0,10.0,6.0,,,,0.7078227035179037,1337.0,1338.0,1339.0
phase6,accumulation,2024-01-10,2024-01-12,2,2,24,15.0,15.0,6.0,,,,0.7267597954276165,1339.0,1340.0,1341.0
phase6,expansion,2024-01-12,2024-01-14,2,2,24,30.0,15.0,6.0,,,,0.7022162685068682,1341.0,1342.0,1343.0
phase6,distribution,2024-01-14,2024-01-15,1,1,12,30.0,15.0,7.5,,,,0.6956296352044993,1343.0,1343.5,1344.0
phase6,expansion,2024-01-15,2024-01-18,3,3,36,30.0,15.0,7.5,,,,0.7344742437560627,1344.0,1345.5,1347.0
phase6,distribution,2024-01-18,2024-02-13,26,26,312,30.0,15.0,10.0,,,,0.9033164080093338,1347.0,1360.0,1373.0
phase6,accumulation,2024-02-13,2024-03-04,20,20,240,30.0,15.0,10.0,,,,0.9777730464781432,1373.0,1383.0,1393.0
phase6,expansion,2024-03-04,2024-03-16,12,12,144,30.0,15.0,10.0,,,,0.9619376200171867,1393.0,1399.0,1405.0
phase6,distribution,2024-03-16,2024-03-17,1,1,12,30.0,15.0,10.0,,,,0.9251474774423822,1405.0,1405.5,1406.0
phase6,expansion,2024-03-17,2024-03-19,2,2,24,30.0,15.0,10.0,,,,0.9207468965174196,1406.0,1407.0,1408.0
phase6,distribution,2024-03-19,2024-03-20,1,1,12,30.0,15.0,10.0,,,,0.925545758263415,1408.0,1408.5,1409.0
phase6,euphoria,2024-03-20,2024-03-22,2,2,24,30.0,15.0,10.0,,,,0.9354137814108469,1409.0,1410.0,1411.0
phase6,distribution,2024-03-22,2024-03-24,2,2,24,30.0,15.0,10.0,,,,0.9450207684175131,1411.0,1412.0,1413.0
phase6,expansion,2024-03-24,2024-04-02,9,9,108,15.0,30.0,10.0,,,,0.8112423276653271,1413.0,1417.5,1422.0
phase6,distribution,2024-04-02,2024-04-03,1,1,12,15.0,30.0,3.333333333333333,,,,0.6768600686061872,1422.0,1422.5,1423.0
phase6,expansion,2024-04-03,2024-04-13,10,10,120,15.0,30.0,10.0,,,,0.7380967284900034,1423.0,1428.0,1433.0
phase6,distribution,2024-04-13,2024-04-22,9,9,108,10.0,30.0,15.0,,,,0.7970775610230113,1433.0,1434.5,2.0
phase6,expansion,2024-04-22,2024-04-24,2,2,24,15.0,30.0,10.0,,,,0.8211731717287662,2.0,3.0,4.0
phase6,distribution,2024-04-24,2024-08-30,128,129,1548,30.0,15.0,10.0,,,,0.8835067737438319,4.0,68.0,132.0
