labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
regime3,range,2022-01-04,2022-01-07,3,3,36,15.0,10.0,30.0,,,,0.8977211924381882,603.0,604.5,606.0
regime3,down,2022-01-07,2022-03-20,72,72,864,30.0,15.0,10.0,,,,0.9209802785726613,606.0,642.0,678.0
regime3,range,2022-03-20,2022-05-10,51,51,612,30.0,15.0,7.5,,,,0.8792835533919872,678.0,703.5,729.0
regime3,down,2022-05-10,2022-06-04,25,25,300,30.0,15.0,10.0,,,,0.9104414998110045,729.0,741.5,754.0
regime3,range,2022-06-04,2022-06-14,10,10,120,7.5,10.0,15.0,,,,0.7042477641966267,754.0,759.0,764.0
regime3,down,2022-06-14,2022-08-15,62,62,744,15.0,15.0,10.0,,,,0.9085792958738801,764.0,795.0,826.0
regime3,range,2022-08-15,2022-08-20,5,5,60,10.0,15.0,12.5,,,,0.7923188302820076,826.0,828.5,831.0
regime3,down,2022-08-20,2022-10-12,53,53,636,30.0,15.0,10.0,,,,0.9038222393415387,831.0,857.5,884.0
regime3,range,2022-10-12,2022-10-15,3,3,36,30.0,6.0,15.0,,,,0.7795064069442346,884.0,885.5,887.0
regime3,down,2022-10-15,2022-11-04,20,20,240,30.0,15.0,10.0,,,,0.8771788804466557,887.0,897.0,907.0
regime3,range,2022-11-04,2022-11-09,5,5,60,30.0,15.0,10.0,,,,0.9075807286388139,907.0,909.5,912.0
regime3,down,2022-11-09,2022-12-16,37,37,444,30.0,15.0,10.0,,,,0.9075257549173156,912.0,930.5,949.0
regime3,range,2022-12-16,2022-12-19,3,3,36,30.0,12.5,5.892857142857142,,,,0.7781597557626234,949.0,950.5,952.0
regime3,down,2022-12-19,2023-01-04,16,16,192,30.0,10.0,10.0,,,,0.8214846829663479,952.0,960.0,968.0
regime3,range,2023-01-04,2023-01-07,3,3,36,30.0,10.0,10.5,,,,0.7920331147977977,968.0,969.5,971.0
regime3,down,2023-01-07,2023-01-12,5,5,60,30.0,12.5,10.0,,,,0.8885332096695134,971.0,973.5,976.0
regime3,range,2023-01-12,2023-01-21,9,9,108,30.0,15.0,10.0,,,,0.9913796377121168,976.0,980.5,985.0
regime3,up,2023-01-21,2023-02-17,27,27,324,30.0,15.0,7.5,,,,0.9481791381225955,985.0,998.5,1012.0
regime3,range,2023-02-17,2023-02-19,2,2,24,30.0,15.0,3.333333333333333,,,,0.7797344655940691,1012.0,1013.0,1014.0
regime3,up,2023-02-19,2023-03-11,20,20,240,15.0,30.0,10.0,,,,0.9018365873969388,1014.0,1024.0,1034.0
regime3,range,2023-03-11,2023-03-13,2,2,24,30.0,10.0,15.0,,,,0.9452939338279255,1034.0,1035.0,1036.0
regime3,up,2023-03-13,2023-04-10,28,28,336,30.0,15.0,10.0,,,,0.9438601887966558,1036.0,1050.0,1064.0
regime3,range,2023-04-10,2023-04-15,5,5,60,30.0,10.0,3.0,,,,0.6800123208933867,1064.0,1066.5,1069.0
regime3,up,2023-04-15,2023-05-19,34,34,408,30.0,15.0,10.0,,,,0.9055597659109023,1069.0,1086.0,1103.0
regime3,range,2023-05-19,2023-06-26,38,38,456,30.0,15.0,10.0,,,,0.8258729943857278,1103.0,1122.0,1141.0
regime3,up,2023-06-26,2023-07-18,22,22,264,30.0,15.0,10.0,,,,0.9506579169398397,1141.0,1152.0,1163.0
regime3,range,2023-07-18,2023-10-25,99,99,1188,30.0,15.0,10.0,,,,0.8004693855125693,1163.0,1212.5,1262.0
regime3,up,2023-10-25,2023-11-25,31,31,372,30.0,15.0,10.0,,,,0.9459867395850378,1262.0,1277.5,1293.0
regime3,range,2023-11-25,2023-12-07,12,12,144,30.0,4.285714285714286,4.285714285714286,,,,0.5055463001907572,1293.0,1299.0,1305.0
regime3,up,2023-12-07,2023-12-26,19,19,228,30.0,15.0,10.0,,,,0.9244647940074053,1305.0,1314.5,1324.0
regime3,range,2023-12-26,2024-01-19,24,24,288,15.0,15.0,7.5,,,,0.7276975690848321,1324.0,1336.0,1348.0
regime3,up,2024-01-19,2024-03-29,70,70,840,30.0,15.0,10.0,,,,0.9374311317590918,1348.0,1383.0,1418.0
regime3,range,2024-03-29,2024-04-17,19,19,228,15.0,30.0,10.0,,,,0.7440477976158166,1418.0,1427.5,1437.0
regime3,up,2024-04-17,2024-04-18,1,1,12,10.0,30.0,15.0,,,,0.8056289519118509,1437.0,1437.5,1438.0
regime3,range,2024-04-18,2024-04-19,1,1,12,10.0,30.0,15.0,,,,0.8061949081546064,1438.0,1438.5,1439.0
regime3,up,2024-04-19,2024-05-08,19,19,228,15.0,30.0,10.0,,,,0.8335290309239081,1439.0,9.5,18.0
regime3,range,2024-05-08,2024-05-19,11,11,132,15.0,30.0,6.75,,,,0.8426471351365832,18.0,23.5,29.0
regime3,up,2024-05-19,2024-06-08,20,20,240,30.0,15.0,5.0,,,,0.8539708284598387,29.0,39.0,49.0
regime3,range,2024-06-08,2024-06-14,6,6,72,15.0,10.0,7.5,,,,0.7502436513022657,49.0,52.0,55.0
regime3,up,2024-06-14,2024-06-18,4,4,48,15.0,10.0,10.0,,,,0.858990383364991,55.0,57.0,59.0
regime3,range,2024-06-18,2024-08-30,73,74,888,30.0,15.0,10.0,,,,0.9183784690253453,59.0,95.5,132.0
