labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
phase6,distribution,2012-11-28 00:00:00,2013-03-05 14:00:00,97,1171,1171,360.0,180.0,90.0,,,,0.9038904809511152,0.0,48.0,97.0
phase6,accumulation,2013-03-05 14:00:00,2013-03-06 22:00:00,1,16,16,360.0,90.0,72.0,,,,0.9464953098412068,97.0,98.0,98.0
phase6,distribution,2013-03-06 22:00:00,2013-03-07 14:00:00,1,8,8,360.0,90.0,72.0,,,,0.9511402015656818,98.0,99.0,99.0
phase6,expansion,2013-03-07 14:00:00,2013-03-07 16:00:00,1,1,1,360.0,90.0,72.0,,,,0.9517127681532508,99.0,99.0,99.0
phase6,distribution,2013-03-07 16:00:00,2013-03-08 16:00:00,1,12,12,360.0,90.0,72.0,,,,0.9559057674715598,99.0,100.0,100.0
phase6,expansion,2013-03-08 16:00:00,2013-03-08 18:00:00,1,1,1,360.0,90.0,72.0,,,,0.9577693227241416,100.0,100.0,100.0
phase6,distribution,2013-03-08 18:00:00,2013-03-09 22:00:00,1,14,14,360.0,72.0,120.0,,,,0.9615935171437917,100.0,101.0,101.0
phase6,accumulation,2013-03-09 22:00:00,2013-03-10 22:00:00,1,12,12,360.0,72.0,90.0,,,,0.9648006749409148,101.0,102.0,102.0
phase6,distribution,2013-03-10 22:00:00,2013-03-19 20:00:00,8,107,107,360.0,180.0,72.0,,,,0.9410648210752272,102.0,107.0,111.0
phase6,accumulation,2013-03-19 20:00:00,2013-03-23 04:00:00,3,40,40,360.0,180.0,51.42857142857143,,,,0.8972789473466634,111.0,113.0,115.0
phase6,distribution,2013-03-23 04:00:00,2013-03-24 20:00:00,1,20,20,360.0,180.0,60.0,,,,0.8732300540244033,115.0,116.0,116.0
phase6,expansion,2013-03-24 20:00:00,2013-03-25 22:00:00,1,13,13,360.0,180.0,120.0,,,,0.8837289949505551,116.0,117.0,117.0
phase6,accumulation,2013-03-25 22:00:00,2013-03-28 20:00:00,2,35,35,360.0,180.0,120.0,,,,0.9346212517942658,117.0,119.0,120.0
phase6,distribution,2013-03-28 20:00:00,2013-03-28 22:00:00,1,1,1,360.0,180.0,120.0,,,,0.9558100981867066,120.0,120.0,120.0
phase6,expansion,2013-03-28 22:00:00,2013-03-31 08:00:00,2,29,29,360.0,180.0,120.0,,,,0.9682179020500832,120.0,122.0,123.0
phase6,accumulation,2013-03-31 08:00:00,2013-04-03 06:00:00,2,35,35,360.0,180.0,90.0,,,,0.9744779745946054,123.0,124.0,126.0
phase6,expansion,2013-04-03 06:00:00,2013-04-04 02:00:00,1,10,10,360.0,180.0,90.0,,,,0.9758329364497919,126.0,126.0,127.0
phase6,distribution,2013-04-04 02:00:00,2013-04-04 04:00:00,1,1,1,360.0,180.0,90.0,,,,0.9766535434912256,127.0,127.0,127.0
phase6,expansion,2013-04-04 04:00:00,2013-04-05 22:00:00,1,21,21,360.0,180.0,72.0,,,,0.9771465843040736,127.0,128.0,128.0
phase6,accumulation,2013-04-05 22:00:00,2013-04-10 04:00:00,4,51,51,360.0,90.0,72.0,,,,0.9799834695772023,128.0,131.0,133.0
phase6,expansion,2013-04-10 04:00:00,2013-04-10 16:00:00,1,6,6,360.0,90.0,72.0,,,,0.9836780124908369,133.0,133.0,133.0
phase6,euphoria,2013-04-10 16:00:00,2013-04-10 18:00:00,1,1,1,360.0,90.0,72.0,,,,0.9836780124908368,133.0,133.0,133.0
phase6,distribution,2013-04-10 18:00:00,2013-04-11 16:00:00,1,11,11,360.0,180.0,72.0,,,,0.9820449141336977,133.0,134.0,134.0
phase6,bear,2013-04-11 16:00:00,2013-04-12 00:00:00,1,4,4,360.0,180.0,72.0,,,,0.9806351696861437,134.0,134.0,135.0
phase6,capitulation,2013-04-12 00:00:00,2013-04-18 08:00:00,6,76,76,360.0,180.0,72.0,,,,0.9518802606332555,135.0,138.0,141.0
phase6,bear,2013-04-18 08:00:00,2013-04-19 08:00:00,1,12,12,360.0,180.0,72.0,,,,0.903551825204969,141.0,141.0,142.0
phase6,distribution,2013-04-19 08:00:00,2013-05-01 18:00:00,12,149,149,180.0,360.0,120.0,,,,0.7943872905817729,142.0,148.0,154.0
phase6,bear,2013-05-01 18:00:00,2013-05-03 12:00:00,1,21,21,180.0,360.0,60.0,,,,0.8089887968530476,154.0,155.0,156.0
phase6,capitulation,2013-05-03 12:00:00,2013-05-04 06:00:00,1,9,9,180.0,360.0,60.0,,,,0.820074331039617,156.0,156.0,157.0
phase6,bear,2013-05-04 06:00:00,2013-05-10 20:00:00,6,79,79,360.0,180.0,60.0,,,,0.8521875009835915,157.0,160.0,163.0
phase6,distribution,2013-05-10 20:00:00,2013-07-01 20:00:00,52,624,624,360.0,180.0,72.0,,,,0.8906865390293509,163.0,189.0,215.0
phase6,bear,2013-07-01 20:00:00,2013-07-01 22:00:00,1,1,1,360.0,90.0,72.0,,,,0.8173464286974734,215.0,215.0,215.0
phase6,distribution,2013-07-01 22:00:00,2013-07-03 20:00:00,1,23,23,360.0,90.0,72.0,,,,0.7986992462057007,215.0,216.0,217.0
phase6,bear,2013-07-03 20:00:00,2013-07-04 18:00:00,1,11,11,360.0,90.0,180.0,,,,0.855102333167932,217.0,218.0,218.0
phase6,distribution,2013-07-04 18:00:00,2013-07-05 00:00:00,1,3,3,360.0,90.0,180.0,,,,0.8789838193561759,218.0,218.0,219.0
phase6,bear,2013-07-05 00:00:00,2013-07-07 22:00:00,2,35,35,360.0,180.0,90.0,,,,0.9469423587985842,219.0,220.0,221.0
phase6,distribution,2013-07-07 22:00:00,2013-07-08 12:00:00,1,7,7,360.0,180.0,72.0,,,,0.9705522867548749,221.0,222.0,222.0
phase6,bear,2013-07-08 12:00:00,2013-07-08 14:00:00,1,1,1,360.0,180.0,72.0,,,,0.9711215606514734,222.0,222.0,222.0
phase6,distribution,2013-07-08 14:00:00,2013-10-19 14:00:00,103,1236,1236,360.0,180.0,90.0,,,,0.8575080818182871,222.0,274.0,325.0
phase6,accumulation,2013-10-19 14:00:00,2013-10-24 06:00:00,4,56,56,360.0,180.0,90.0,,,,0.8742700436746046,325.0,327.0,330.0
phase6,distribution,2013-10-24 06:00:00,2013-10-24 10:00:00,1,2,2,360.0,180.0,120.0,,,,0.9635181151259742,330.0,330.0,330.0
phase6,expansion,2013-10-24 10:00:00,2013-10-25 04:00:00,1,9,9,360.0,180.0,120.0,,,,0.9662955055929625,330.0,330.0,331.0
phase6,distribution,2013-10-25 04:00:00,2013-11-05 20:00:00,11,140,140,360.0,180.0,120.0,,,,0.9678113773978512,331.0,337.0,342.0
phase6,accumulation,2013-11-05 20:00:00,2013-11-10 00:00:00,4,50,50,360.0,180.0,120.0,,,,0.922012231686707,342.0,344.0,347.0
phase6,distribution,2013-11-10 00:00:00,2013-11-10 22:00:00,1,11,11,360.0,90.0,180.0,,,,0.9310827145248646,347.0,347.0,347.0
phase6,expansion,2013-11-10 22:00:00,2013-11-11 00:00:00,1,1,1,360.0,90.0,180.0,,,,0.9422715308823669,347.0,347.5,348.0
phase6,distribution,2013-11-11 00:00:00,2013-11-11 04:00:00,1,2,2,360.0,90.0,180.0,,,,0.953460347239869,348.0,348.0,348.0
phase6,expansion,2013-11-11 04:00:00,2013-11-13 02:00:00,1,23,23,360.0,90.0,180.0,,,,0.9648056209512608,348.0,349.0,350.0
phase6,accumulation,2013-11-13 02:00:00,2013-11-18 20:00:00,5,69,69,360.0,180.0,120.0,,,,0.9851658542299517,350.0,352.5,355.0
phase6,expansion,2013-11-18 20:00:00,2013-11-19 10:00:00,1,7,7,360.0,180.0,90.0,,,,0.9845433257255347,355.0,356.0,356.0
phase6,distribution,2013-11-19 10:00:00,2013-11-19 14:00:00,1,2,2,360.0,180.0,90.0,,,,0.9844037954266548,356.0,356.0,356.0
phase6,euphoria,2013-11-19 14:00:00,2013-11-19 22:00:00,1,4,4,360.0,180.0,90.0,,,,0.9844037954266549,356.0,356.0,356.0
phase6,distribution,2013-11-19 22:00:00,2013-11-21 04:00:00,1,15,15,360.0,180.0,90.0,,,,0.9814417704837215,356.0,357.0,358.0
phase6,expansion,2013-11-21 04:00:00,2013-11-23 04:00:00,2,24,24,360.0,180.0,120.0,,,,0.9780518838815847,358.0,359.0,360.0
phase6,accumulation,2013-11-23 04:00:00,2013-11-24 08:00:00,1,14,14,360.0,180.0,120.0,,,,0.9745696067889374,360.0,360.0,361.0
phase6,distribution,2013-11-24 08:00:00,2013-11-24 10:00:00,1,1,1,360.0,120.0,180.0,,,,0.9718187864087682,361.0,361.0,361.0
phase6,accumulation,2013-11-24 10:00:00,2013-11-25 20:00:00,1,17,17,360.0,120.0,180.0,,,,0.9678389728341743,361.0,362.0,362.0
phase6,distribution,2013-11-25 20:00:00,2013-11-25 22:00:00,1,1,1,360.0,120.0,180.0,,,,0.9653063641957964,362.0,362.0,362.0
phase6,accumulation,2013-11-25 22:00:00,2013-12-01 04:00:00,5,63,63,360.0,180.0,60.0,,,,0.9510391162754621,362.0,365.0,368.0
phase6,distribution,2013-12-01 04:00:00,2013-12-01 06:00:00,1,1,1,360.0,180.0,60.0,,,,0.9430261317160304,368.0,368.0,368.0
phase6,accumulation,2013-12-01 06:00:00,2013-12-01 10:00:00,1,2,2,360.0,180.0,60.0,,,,0.9430261317160303,368.0,368.0,368.0
phase6,distribution,2013-12-01 10:00:00,2013-12-07 00:00:00,5,67,67,360.0,180.0,60.0,,,,0.9440944596718722,368.0,371.0,374.0
phase6,bear,2013-12-07 00:00:00,2013-12-07 10:00:00,1,5,5,360.0,180.0,72.0,,,,0.9507047659388203,374.0,374.0,374.0
phase6,distribution,2013-12-07 10:00:00,2013-12-07 14:00:00,1,2,2,360.0,180.0,72.0,,,,0.9507047659388204,374.0,374.0,374.0
phase6,bear,2013-12-07 14:00:00,2013-12-08 08:00:00,1,9,9,360.0,180.0,72.0,,,,0.9533483094600271,374.0,374.5,375.0
phase6,distribution,2013-12-08 08:00:00,2013-12-08 12:00:00,1,2,2,360.0,180.0,72.0,,,,0.955991852981234,375.0,375.0,375.0
phase6,bear,2013-12-08 12:00:00,2013-12-08 20:00:00,1,4,4,360.0,180.0,72.0,,,,0.9559918529812339,375.0,375.0,375.0
phase6,distribution,2013-12-08 20:00:00,2013-12-16 16:00:00,7,94,94,360.0,180.0,72.0,,,,0.945194140655379,375.0,379.0,383.0
phase6,bear,2013-12-16 16:00:00,2013-12-18 12:00:00,1,22,22,360.0,180.0,72.0,,,,0.885985855141255,383.0,384.0,385.0
phase6,capitulation,2013-12-18 12:00:00,2013-12-18 16:00:00,1,2,2,360.0,180.0,72.0,,,,0.8728261092900812,385.0,385.0,385.0
phase6,bear,2013-12-18 16:00:00,2013-12-18 18:00:00,1,1,1,360.0,180.0,72.0,,,,0.8728261092900812,385.0,385.0,385.0
phase6,capitulation,2013-12-18 18:00:00,2013-12-19 08:00:00,1,7,7,360.0,180.0,72.0,,,,0.8626249901282351,385.0,386.0,386.0
phase6,bear,2013-12-19 08:00:00,2013-12-26 04:00:00,6,82,82,360.0,120.0,60.0,,,,0.7927838745557886,386.0,389.0,393.0
phase6,distribution,2013-12-26 04:00:00,2014-01-06 02:00:00,10,131,131,360.0,180.0,120.0,,,,0.8505940294332448,393.0,398.0,404.0
phase6,accumulation,2014-01-06 02:00:00,2014-01-06 14:00:00,1,6,6,360.0,180.0,120.0,,,,0.906629845857819,404.0,404.0,404.0
phase6,distribution,2014-01-06 14:00:00,2014-01-06 16:00:00,1,1,1,360.0,180.0,120.0,,,,0.906629845857819,404.0,404.0,404.0
phase6,accumulation,2014-01-06 16:00:00,2014-01-07 12:00:00,1,10,10,360.0,180.0,120.0,,,,0.9172605164652435,404.0,405.0,405.0
phase6,distribution,2014-01-07 12:00:00,2014-02-24 20:00:00,48,580,580,360.0,180.0,120.0,,,,0.7733724081813019,405.0,429.0,453.0
phase6,bear,2014-02-24 20:00:00,2014-02-26 00:00:00,1,14,14,360.0,180.0,120.0,,,,0.9032003324549444,453.0,454.0,455.0
phase6,distribution,2014-02-26 00:00:00,2014-03-30 12:00:00,32,390,390,360.0,180.0,90.0,,,,0.8175254761527865,455.0,471.0,487.0
phase6,bear,2014-03-30 12:00:00,2014-03-30 20:00:00,1,4,4,360.0,180.0,120.0,,,,0.96463322537703,487.0,487.0,487.0
phase6,distribution,2014-03-30 20:00:00,2014-03-30 22:00:00,1,1,1,360.0,180.0,120.0,,,,0.96463322537703,487.0,487.0,487.0
