labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
regime3,range,2012-11-28 00:00:00,2013-01-18 00:00:00,51,612,612,360.0,180.0,90.0,,,,0.8504161205217123,0.0,25.0,51.0
regime3,up,2013-01-18 00:00:00,2013-01-19 22:00:00,1,23,23,360.0,180.0,120.0,,,,0.9699894594073054,51.0,51.5,52.0
regime3,range,2013-01-19 22:00:00,2013-01-21 12:00:00,1,19,19,360.0,180.0,120.0,,,,0.9748632777058998,52.0,53.0,54.0
regime3,up,2013-01-21 12:00:00,2013-01-26 00:00:00,4,54,54,360.0,180.0,90.0,,,,0.9797144544008626,54.0,56.0,59.0
regime3,range,2013-01-26 00:00:00,2013-01-29 00:00:00,3,36,36,360.0,180.0,120.0,,,,0.9761102834626076,59.0,60.0,62.0
regime3,up,2013-01-29 00:00:00,2013-02-03 02:00:00,5,61,61,360.0,180.0,72.0,,,,0.9649186712174864,62.0,64.0,67.0
regime3,range,2013-02-03 02:00:00,2013-02-08 02:00:00,5,60,60,360.0,180.0,90.0,,,,0.9419215594603618,67.0,69.0,72.0
regime3,up,2013-02-08 02:00:00,2013-02-18 08:00:00,10,123,123,360.0,120.0,90.0,,,,0.9441085552226685,72.0,77.0,82.0
regime3,range,2013-02-18 08:00:00,2013-02-19 16:00:00,1,16,16,360.0,120.0,180.0,,,,0.9696434815333885,82.0,83.0,83.0
regime3,up,2013-02-19 16:00:00,2013-02-23 12:00:00,3,46,46,360.0,180.0,120.0,,,,0.9783515410026978,83.0,85.0,87.0
regime3,range,2013-02-23 12:00:00,2013-02-28 08:00:00,4,58,58,360.0,180.0,72.0,,,,0.9777235723479716,87.0,89.0,92.0
regime3,up,2013-02-28 08:00:00,2013-03-12 22:00:00,12,151,151,360.0,180.0,72.0,,,,0.9585446781547454,92.0,98.0,104.0
regime3,range,2013-03-12 22:00:00,2013-03-14 00:00:00,1,13,13,360.0,180.0,90.0,,,,0.9538796193306319,104.0,105.0,106.0
regime3,up,2013-03-14 00:00:00,2013-03-15 04:00:00,1,14,14,360.0,180.0,72.0,,,,0.9463931817097782,106.0,106.0,107.0
regime3,range,2013-03-15 04:00:00,2013-03-19 08:00:00,4,50,50,360.0,180.0,72.0,,,,0.9292034306361554,107.0,109.0,111.0
regime3,up,2013-03-19 08:00:00,2013-04-11 14:00:00,23,279,279,360.0,180.0,90.0,,,,0.9467663842214997,111.0,122.5,134.0
regime3,range,2013-04-11 14:00:00,2013-04-11 18:00:00,1,2,2,360.0,180.0,72.0,,,,0.9815005480146514,134.0,134.0,134.0
regime3,down,2013-04-11 18:00:00,2013-04-19 02:00:00,7,88,88,360.0,180.0,72.0,,,,0.9482855011855317,134.0,138.0,142.0
regime3,range,2013-04-19 02:00:00,2013-04-19 18:00:00,1,8,8,360.0,180.0,120.0,,,,0.892536471157412,142.0,142.0,142.0
regime3,up,2013-04-19 18:00:00,2013-04-24 00:00:00,4,51,51,360.0,180.0,120.0,,,,0.8429423027926662,142.0,144.0,147.0
regime3,range,2013-04-24 00:00:00,2013-05-02 10:00:00,8,101,101,180.0,360.0,120.0,,,,0.7655204065646729,147.0,151.0,155.0
regime3,down,2013-05-02 10:00:00,2013-05-05 22:00:00,3,42,42,180.0,360.0,60.0,,,,0.8224082140993331,155.0,157.0,158.0
regime3,range,2013-05-05 22:00:00,2013-05-25 04:00:00,19,231,231,360.0,180.0,72.0,,,,0.8445990832609044,158.0,168.0,178.0
regime3,up,2013-05-25 04:00:00,2013-05-25 18:00:00,1,7,7,360.0,72.0,120.0,,,,0.8042499049958861,178.0,178.0,178.0
regime3,range,2013-05-25 18:00:00,2013-06-08 02:00:00,13,160,160,360.0,180.0,72.0,,,,0.8762304951824691,178.0,185.0,192.0
regime3,down,2013-06-08 02:00:00,2013-06-11 20:00:00,3,45,45,360.0,180.0,72.0,,,,0.9639358660404563,192.0,193.5,195.0
regime3,range,2013-06-11 20:00:00,2013-06-14 18:00:00,2,35,35,360.0,180.0,72.0,,,,0.9657956816534737,195.0,197.0,198.0
regime3,down,2013-06-14 18:00:00,2013-06-16 04:00:00,1,17,17,360.0,180.0,72.0,,,,0.9605316174835757,198.0,199.0,200.0
regime3,range,2013-06-16 04:00:00,2013-06-28 20:00:00,12,152,152,360.0,180.0,72.0,,,,0.9296244013433904,200.0,206.0,212.0
regime3,down,2013-06-28 20:00:00,2013-07-02 00:00:00,3,38,38,360.0,90.0,72.0,,,,0.8521749946623095,212.0,214.0,216.0
regime3,range,2013-07-02 00:00:00,2013-07-03 00:00:00,1,12,12,360.0,90.0,72.0,,,,0.791790069107443,216.0,216.0,217.0
regime3,down,2013-07-03 00:00:00,2013-07-03 04:00:00,1,2,2,360.0,90.0,72.0,,,,0.8058164581842583,217.0,217.0,217.0
regime3,range,2013-07-03 04:00:00,2013-07-03 14:00:00,1,5,5,360.0,90.0,72.0,,,,0.8058164581842583,217.0,217.0,217.0
regime3,down,2013-07-03 14:00:00,2013-07-09 08:00:00,5,69,69,360.0,180.0,90.0,,,,0.9287179163351578,217.0,220.0,223.0
regime3,range,2013-07-09 08:00:00,2013-07-11 14:00:00,2,27,27,360.0,180.0,72.0,,,,0.9703600078789242,223.0,224.0,225.0
regime3,up,2013-07-11 14:00:00,2013-07-17 00:00:00,5,65,65,360.0,180.0,90.0,,,,0.9645042629596177,225.0,228.0,231.0
regime3,range,2013-07-17 00:00:00,2013-07-31 08:00:00,14,172,172,180.0,360.0,120.0,,,,0.9248963242663272,231.0,238.0,245.0
regime3,up,2013-07-31 08:00:00,2013-08-01 12:00:00,1,14,14,180.0,360.0,120.0,,,,0.8212301080612069,245.0,245.0,246.0
regime3,range,2013-08-01 12:00:00,2013-08-21 20:00:00,20,244,244,360.0,180.0,90.0,,,,0.8650540882563517,246.0,256.0,266.0
regime3,up,2013-08-21 20:00:00,2013-08-23 10:00:00,1,19,19,180.0,90.0,120.0,,,,0.8763699019418709,266.0,267.0,268.0
regime3,range,2013-08-23 10:00:00,2013-08-27 14:00:00,4,50,50,360.0,180.0,90.0,,,,0.9500822285520837,268.0,270.0,272.0
regime3,up,2013-08-27 14:00:00,2013-08-29 08:00:00,1,21,21,360.0,180.0,90.0,,,,0.9763343139366486,272.0,273.0,274.0
regime3,range,2013-08-29 08:00:00,2013-08-30 20:00:00,1,18,18,360.0,180.0,90.0,,,,0.9764052687606546,274.0,275.0,275.0
regime3,up,2013-08-30 20:00:00,2013-09-03 12:00:00,3,44,44,360.0,180.0,90.0,,,,0.97311439739269,275.0,277.0,279.0
regime3,range,2013-09-03 12:00:00,2013-10-03 00:00:00,29,354,354,180.0,180.0,120.0,,,,0.888058971448388,279.0,294.0,309.0
regime3,down,2013-10-03 00:00:00,2013-10-04 02:00:00,1,13,13,180.0,360.0,72.0,,,,0.8622666372238071,309.0,309.0,310.0
regime3,range,2013-10-04 02:00:00,2013-10-20 00:00:00,15,191,191,120.0,180.0,90.0,,,,0.5960603351343042,310.0,318.0,326.0
regime3,up,2013-10-20 00:00:00,2013-10-26 02:00:00,6,73,73,360.0,180.0,120.0,,,,0.9126830680886118,326.0,329.0,332.0
regime3,range,2013-10-26 02:00:00,2013-10-28 12:00:00,2,29,29,360.0,180.0,120.0,,,,0.9787716667337615,332.0,333.0,334.0
regime3,up,2013-10-28 12:00:00,2013-10-31 12:00:00,3,36,36,360.0,180.0,120.0,,,,0.9754574141733474,334.0,336.0,337.0
regime3,range,2013-10-31 12:00:00,2013-11-04 14:00:00,4,49,49,360.0,180.0,120.0,,,,0.9614439374063152,337.0,339.0,341.0
regime3,up,2013-11-04 14:00:00,2013-12-05 12:00:00,30,371,371,360.0,180.0,120.0,,,,0.9582131208689776,341.0,357.0,372.0
regime3,range,2013-12-05 12:00:00,2013-12-07 00:00:00,1,18,18,360.0,180.0,60.0,,,,0.946643108780251,372.0,373.0,374.0
regime3,down,2013-12-07 00:00:00,2013-12-10 00:00:00,3,36,36,360.0,180.0,72.0,,,,0.9556741449279716,374.0,375.0,377.0
regime3,range,2013-12-10 00:00:00,2013-12-16 18:00:00,6,81,81,360.0,180.0,72.0,,,,0.9422986191238129,377.0,380.0,383.0
regime3,down,2013-12-16 18:00:00,2013-12-22 00:00:00,5,63,63,360.0,180.0,72.0,,,,0.8528004911676563,383.0,386.0,389.0
regime3,range,2013-12-22 00:00:00,2014-01-03 10:00:00,12,149,149,360.0,120.0,120.0,,,,0.8170010363487886,389.0,395.0,401.0
regime3,up,2014-01-03 10:00:00,2014-01-08 04:00:00,4,57,57,360.0,180.0,120.0,,,,0.89739905329471,401.0,403.0,406.0
regime3,range,2014-01-08 04:00:00,2014-02-13 00:00:00,35,430,430,360.0,120.0,90.0,,,,0.7195826814297093,406.0,424.0,442.0
