phase,start,end,d1_candles,h2_bars
distribution,2018-11-01 00:00:00,2018-11-23 00:00:00,23,265
bear,2018-11-23 00:00:00,2018-11-23 08:00:00,1,5
distribution,2018-11-23 08:00:00,2018-11-23 16:00:00,1,5
bear,2018-11-23 16:00:00,2018-11-23 20:00:00,1,3
distribution,2018-11-23 20:00:00,2018-11-24 14:00:00,2,10
bear,2018-11-24 14:00:00,2018-11-28 18:00:00,5,51
distribution,2018-11-28 18:00:00,2018-11-28 20:00:00,1,2
bear,2018-11-28 20:00:00,2018-11-29 08:00:00,2,7
distribution,2018-11-29 08:00:00,2018-11-29 14:00:00,1,4
bear,2018-11-29 14:00:00,2018-11-29 16:00:00,1,2
distribution,2018-11-29 16:00:00,2018-11-29 18:00:00,1,2
bear,2018-11-29 18:00:00,2018-11-29 22:00:00,1,3
distribution,2018-11-29 22:00:00,2018-11-30 00:00:00,2,2
bear,2018-11-30 00:00:00,2018-11-30 02:00:00,1,2
distribution,2018-11-30 02:00:00,2018-11-30 06:00:00,1,3
bear,2018-11-30 06:00:00,2018-11-30 22:00:00,1,9
