phase,start,end,d1_candles,h2_bars
distribution,2019-05-01 00:00:00,2019-05-14 00:00:00,14,168
expansion,2019-05-14 00:00:00,2019-05-17 00:00:00,4,48
distribution,2019-05-17 00:00:00,2019-05-19 00:00:00,3,36
expansion,2019-05-19 00:00:00,2019-05-22 00:00:00,4,48
euphoria,2019-05-22 00:00:00,2019-05-24 00:00:00,3,36
expansion,2019-05-24 00:00:00,2019-05-26 00:00:00,3,36
euphoria,2019-05-26 00:00:00,2019-05-27 00:00:00,2,24
expansion,2019-05-27 00:00:00,2019-05-28 00:00:00,2,24
euphoria,2019-05-28 00:00:00,2019-05-29 00:00:00,2,24
expansion,2019-05-29 00:00:00,2019-05-30 00:00:00,2,24
euphoria,2019-05-30 00:00:00,2019-05-31 00:00:00,2,24
