phase,start,end,d1_candles,h2_bars
distribution,2018-11-01 00:00:00,2018-11-23 00:00:00,23,262
bear,2018-11-23 00:00:00,2018-11-23 02:00:00,1,2
distribution,2018-11-23 02:00:00,2018-11-24 18:00:00,2,21
bear,2018-11-24 18:00:00,2018-11-28 18:00:00,5,49
distribution,2018-11-28 18:00:00,2018-11-28 20:00:00,1,2
bear,2018-11-28 20:00:00,2018-11-29 08:00:00,2,7
distribution,2018-11-29 08:00:00,2018-11-29 12:00:00,1,3
bear,2018-11-29 12:00:00,2018-11-29 16:00:00,1,3
distribution,2018-11-29 16:00:00,2018-11-29 18:00:00,1,2
bear,2018-11-29 18:00:00,2018-11-29 22:00:00,1,3
distribution,2018-11-29 22:00:00,2018-11-30 00:00:00,2,2
bear,2018-11-30 00:00:00,2018-11-30 02:00:00,1,2
distribution,2018-11-30 02:00:00,2018-11-30 06:00:00,1,3
bear,2018-11-30 06:00:00,2018-11-30 22:00:00,1,9
