month,symbol,timeframe,phase5_accumulation_days,phase5_accumulation_h2_bars,phase5_expansion_days,phase5_expansion_h2_bars,phase5_euphoria_days,phase5_euphoria_h2_bars,phase5_distribution_days,phase5_distribution_h2_bars,phase5_bear_days,phase5_bear_h2_bars
2021-12,BTC_USD,1d,0,0,0,0,0,0,0,0,0,0
2022-01,BTC_USD,1d,0,0,0,0,0,0,27,324,0,0
2022-02,BTC_USD,1d,0,0,0,0,1,12,28,336,0,0
2022-03,BTC_USD,1d,0,0,5,60,3,36,25,300,0,0
2022-04,BTC_USD,1d,0,0,6,72,0,0,25,300,0,0
2022-05,BTC_USD,1d,0,0,0,0,0,0,10,120,23,276
2022-06,BTC_USD,1d,0,0,0,0,2,24,9,108,23,276
2022-07,BTC_USD,1d,0,0,0,0,0,0,23,276,11,132
2022-08,BTC_USD,1d,0,0,0,0,0,0,19,228,13,156
2022-09,BTC_USD,1d,0,0,0,0,0,0,4,48,28,336
2022-10,BTC_USD,1d,0,0,0,0,0,0,26,312,8,96
2022-11,BTC_USD,1d,0,0,0,0,0,0,8,96,23,276
2022-12,BTC_USD,1d,0,0,0,0,0,0,17,204,18,216
2023-01,BTC_USD,1d,0,0,0,0,0,0,24,288,8,96
2023-02,BTC_USD,1d,0,0,0,0,0,0,26,312,6,72
2023-03,BTC_USD,1d,0,0,0,0,0,0,23,276,10,120
2023-04,BTC_USD,1d,0,0,0,0,0,0,30,360,0,0
2023-05,BTC_USD,1d,0,0,0,0,0,0,31,372,0,0
2023-06,BTC_USD,1d,10,120,3,36,0,0,20,240,0,0
2023-07,BTC_USD,1d,16,192,0,0,0,0,16,192,0,0
2023-08,BTC_USD,1d,0,0,0,0,0,0,31,372,0,0
2023-09,BTC_USD,1d,0,0,0,0,0,0,30,360,0,0
2023-10,BTC_USD,1d,23,276,0,0,0,0,16,192,0,0
2023-11,BTC_USD,1d,30,360,0,0,0,0,2,24,0,0
2023-12,BTC_USD,1d,25,300,5,60,0,0,4,48,0,0
2024-01,BTC_USD,1d,9,108,3,36,0,0,25,300,0,0
2024-02,BTC_USD,1d,23,276,0,0,0,0,7,84,0,0
2024-03,BTC_USD,1d,4,48,26,312,2,24,5,60,0,0
2024-04,BTC_USD,1d,0,0,9,108,0,0,24,288,0,0
2024-05,BTC_USD,1d,0,0,17,204,0,0,15,180,0,0
2024-06,BTC_USD,1d,9,108,2,24,0,0,21,252,0,0
2024-07,BTC_USD,1d,15,180,3,36,0,0,18,216,0,0
