month,symbol,timeframe,phase5psd_accumulation_days,phase5psd_accumulation_h2_bars,phase5psd_bear_days,phase5psd_bear_h2_bars,phase5psd_distribution_days,phase5psd_distribution_h2_bars,phase5psd_expansion_days,phase5psd_expansion_h2_bars,phase5psd_euphoria_days,phase5psd_euphoria_h2_bars
2011-08,BTC_USD,2h,0,0,0,0,0,0,0,0,7,67
2011-09,BTC_USD,2h,0,0,0,0,0,0,6,69,26,282
2011-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2011-11,BTC_USD,2h,0,0,0,0,0,0,2,3,29,347
2011-12,BTC_USD,2h,0,0,0,0,0,0,9,90,24,273
2012-01,BTC_USD,2h,0,0,0,0,0,0,1,6,31,356
2012-02,BTC_USD,2h,0,0,0,0,0,0,0,0,29,337
2012-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-04,BTC_USD,2h,0,0,0,0,0,0,4,35,28,316
2012-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2012-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2012-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2012-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2013-03,BTC_USD,2h,0,0,0,0,0,0,3,35,30,328
2013-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2013-05,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2013-06,BTC_USD,2h,0,0,0,0,0,0,6,52,26,299
2013-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2013-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2013-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-01,BTC_USD,2h,0,0,0,0,0,0,7,69,26,294
2014-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2014-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2014-05,BTC_USD,2h,0,0,0,0,0,0,2,11,30,351
2014-06,BTC_USD,2h,0,0,0,0,0,0,3,30,28,320
2014-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2014-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2014-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-02,BTC_USD,2h,0,0,0,0,0,0,3,23,26,303
2015-03,BTC_USD,2h,0,0,0,0,0,0,6,69,26,293
2015-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2015-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2015-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-08,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2015-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2015-10,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2015-11,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2015-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-02,BTC_USD,2h,0,0,0,0,0,0,5,52,26,287
2016-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2016-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2016-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-09,BTC_USD,2h,0,0,0,0,0,0,6,69,26,282
2016-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2016-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2017-03,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2017-04,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2017-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2017-07,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2017-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2017-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2017-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-01,BTC_USD,2h,0,0,0,0,0,0,5,52,28,311
2018-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2018-03,BTC_USD,2h,0,0,0,0,0,0,5,58,27,304
2018-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2018-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2018-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2018-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-11,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2018-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
