date,symbol,timeframe,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
2h,BTC,USDT,167.0,83.5,55.66666666666666,0.7670399929159393,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.8693099726633521,,,,
2h,BTC,USDT,174.5,349.0,87.25,0.9386267093230412,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.963239673891185,,,,
2h,BTC,USDT,162.5,325.0,108.33333333333334,0.8951199902905036,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.971665282979248,,,,
2h,BTC,USDT,180.5,361.0,120.33333333333331,0.8884008484605819,,,,
2h,BTC,USDT,349.0,174.5,116.33333333333331,0.9410369467625012,,,,
2h,BTC,USDT,361.0,120.33333333333331,51.57142857142858,0.8406947020972539,,,,
2h,BTC,USDT,349.0,174.5,116.33333333333331,0.8884377932852777,,,,
2h,BTC,USDT,349.0,174.5,116.33333333333331,0.9519412222349524,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9534668849677832,,,,
2h,BTC,USDT,349.0,174.5,116.33333333333331,0.9676662398574016,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9338351322120702,,,,
2h,BTC,USDT,349.0,174.5,69.8,0.8554462594267536,,,,
2h,BTC,USDT,361.0,180.5,90.25,0.9391937580326668,,,,
2h,BTC,USDT,325.0,108.33333333333334,162.5,0.9550046566517058,,,,
2h,BTC,USDT,361.0,180.5,90.25,0.9234819866317604,,,,
2h,BTC,USDT,361.0,180.5,51.57142857142858,0.8500813806344236,,,,
2h,BTC,USDT,349.0,174.5,69.8,0.9250291230832904,,,,
2h,BTC,USDT,361.0,180.5,60.16666666666666,0.9507135180916332,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9255752438584546,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.7414351329659975,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9699692654298632,,,,
2h,BTC,USDT,349.0,174.5,69.8,0.8498488158200729,,,,
2h,BTC,USDT,349.0,87.25,174.5,0.7282306616277741,,,,
2h,BTC,USDT,361.0,120.33333333333331,180.5,0.911399342331376,,,,
2h,BTC,USDT,349.0,116.33333333333331,69.8,0.9302557905488952,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.8192644170092072,,,,
2h,BTC,USDT,325.0,65.0,81.25,0.7210700075881707,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9195062992256616,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9178241086609222,,,,
2h,BTC,USDT,349.0,116.33333333333331,174.5,0.964951228524293,,,,
2h,BTC,USDT,361.0,180.5,120.33333333333331,0.9478849932286764,,,,
