date,symbol,timeframe,P1_bars,P2_bars,P3_bars,P4_bars,P5_bars,P6_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol,source_csv
2h,BTC,USD,151.0,75.5,50.33333333333333,37.75,16.77777777777778,18.875,0.8803775014393658,,,,,outputs/fourier/monthly/2011/08/FREQ_BTC_USD_2h_2011-08.csv
2h,BTC,USD,361.0,180.5,60.16666666666666,25.78571428571429,120.33333333333331,90.25,0.983129779106564,,,,,outputs/fourier/monthly/2020/07/FREQ_BTC_USD_2h_2020-07.csv
2h,BTC,USD,361.0,120.33333333333331,180.5,90.25,45.125,40.11111111111111,0.7456841990779556,,,,,outputs/fourier/monthly/2020/08/FREQ_BTC_USD_2h_2020-08.csv
2h,BTC,USD,174.5,349.0,116.33333333333331,87.25,58.16666666666666,49.85714285714286,0.8881074981827926,,,,,outputs/fourier/monthly/2020/09/FREQ_BTC_USD_2h_2020-09.csv
2h,BTC,USD,361.0,120.33333333333331,180.5,72.2,90.25,60.16666666666666,0.977975913169844,,,,,outputs/fourier/monthly/2020/10/FREQ_BTC_USD_2h_2020-10.csv
2h,BTC,USD,349.0,174.5,69.8,116.33333333333331,87.25,43.625,0.9552300033159232,,,,,outputs/fourier/monthly/2020/11/FREQ_BTC_USD_2h_2020-11.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,60.16666666666666,72.2,0.9727667395491132,,,,,outputs/fourier/monthly/2020/12/FREQ_BTC_USD_2h_2020-12.csv
2h,BTC,USD,361.0,120.33333333333331,60.16666666666666,72.2,90.25,51.57142857142858,0.8638700025511301,,,,,outputs/fourier/monthly/2021/01/FREQ_BTC_USD_2h_2021-01.csv
2h,BTC,USD,325.0,108.33333333333334,162.5,46.42857142857143,32.5,65.0,0.9435925994384688,,,,,outputs/fourier/monthly/2021/02/FREQ_BTC_USD_2h_2021-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,60.16666666666666,72.2,0.8967486597709088,,,,,outputs/fourier/monthly/2021/03/FREQ_BTC_USD_2h_2021-03.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,69.8,87.25,43.625,0.9316680140222732,,,,,outputs/fourier/monthly/2021/04/FREQ_BTC_USD_2h_2021-04.csv
2h,BTC,USD,361.0,180.5,25.78571428571429,36.1,60.16666666666666,40.11111111111111,0.952960715067286,,,,,outputs/fourier/monthly/2021/05/FREQ_BTC_USD_2h_2021-05.csv
2h,BTC,USD,174.5,349.0,116.33333333333331,58.16666666666666,49.85714285714286,87.25,0.844187600283967,,,,,outputs/fourier/monthly/2021/06/FREQ_BTC_USD_2h_2021-06.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,45.125,72.2,60.16666666666666,0.9590484336679944,,,,,outputs/fourier/monthly/2021/07/FREQ_BTC_USD_2h_2021-07.csv
2h,BTC,USD,361.0,120.33333333333331,90.25,72.2,40.11111111111111,180.5,0.871901816119587,,,,,outputs/fourier/monthly/2021/08/FREQ_BTC_USD_2h_2021-08.csv
2h,BTC,USD,116.33333333333331,174.5,349.0,49.85714285714286,69.8,87.25,0.8188281890223574,,,,,outputs/fourier/monthly/2021/09/FREQ_BTC_USD_2h_2021-09.csv
2h,BTC,USD,361.0,180.5,60.16666666666666,120.33333333333331,51.57142857142858,72.2,0.950670650610882,,,,,outputs/fourier/monthly/2021/10/FREQ_BTC_USD_2h_2021-10.csv
2h,BTC,USD,349.0,174.5,69.8,87.25,58.16666666666666,116.33333333333331,0.9247079699944812,,,,,outputs/fourier/monthly/2021/11/FREQ_BTC_USD_2h_2021-11.csv
2h,BTC,USD,349.0,174.5,87.25,69.8,38.77777777777778,34.9,0.6575162088357144,,,,,outputs/fourier/monthly/2020/06/FREQ_BTC_USD_2h_2020-06.csv
2h,BTC,USD,361.0,180.5,51.57142857142858,120.33333333333331,36.1,90.25,0.8507320200354245,,,,,outputs/fourier/monthly/2021/12/FREQ_BTC_USD_2h_2021-12.csv
2h,BTC,USD,180.5,120.33333333333331,361.0,72.2,60.16666666666666,90.25,0.8641339899853782,,,,,outputs/fourier/monthly/2020/05/FREQ_BTC_USD_2h_2020-05.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,51.57142857142858,60.16666666666666,90.25,0.941465078948054,,,,,outputs/fourier/monthly/2020/03/FREQ_BTC_USD_2h_2020-03.csv
2h,BTC,USD,120.33333333333331,180.5,90.25,361.0,72.2,45.125,0.8993156674698816,,,,,outputs/fourier/monthly/2018/10/FREQ_BTC_USD_2h_2018-10.csv
2h,BTC,USD,349.0,174.5,69.8,58.16666666666666,87.25,49.85714285714286,0.9545771587042928,,,,,outputs/fourier/monthly/2018/11/FREQ_BTC_USD_2h_2018-11.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,45.125,60.16666666666666,0.9576357213124204,,,,,outputs/fourier/monthly/2018/12/FREQ_BTC_USD_2h_2018-12.csv
2h,BTC,USD,361.0,120.33333333333331,180.5,90.25,30.08333333333333,72.2,0.8474184129843658,,,,,outputs/fourier/monthly/2019/01/FREQ_BTC_USD_2h_2019-01.csv
2h,BTC,USD,325.0,108.33333333333334,162.5,54.16666666666667,65.0,40.625,0.9095227209945608,,,,,outputs/fourier/monthly/2019/02/FREQ_BTC_USD_2h_2019-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,45.125,0.8775251959097747,,,,,outputs/fourier/monthly/2019/03/FREQ_BTC_USD_2h_2019-03.csv
2h,BTC,USD,349.0,174.5,87.25,116.33333333333331,58.16666666666666,38.77777777777778,0.8122755118898534,,,,,outputs/fourier/monthly/2019/04/FREQ_BTC_USD_2h_2019-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,60.16666666666666,0.9164412932016204,,,,,outputs/fourier/monthly/2019/05/FREQ_BTC_USD_2h_2019-05.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,58.16666666666666,69.8,0.9791893285581614,,,,,outputs/fourier/monthly/2019/06/FREQ_BTC_USD_2h_2019-06.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,36.1,72.2,60.16666666666666,0.8648716852369518,,,,,outputs/fourier/monthly/2019/07/FREQ_BTC_USD_2h_2019-07.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,45.125,0.8883483771732371,,,,,outputs/fourier/monthly/2019/08/FREQ_BTC_USD_2h_2019-08.csv
2h,BTC,USD,349.0,87.25,174.5,58.16666666666666,31.727272727272727,43.625,0.9579858450352212,,,,,outputs/fourier/monthly/2019/09/FREQ_BTC_USD_2h_2019-09.csv
2h,BTC,USD,361.0,180.5,72.2,90.25,51.57142857142858,60.16666666666666,0.867971794846841,,,,,outputs/fourier/monthly/2019/10/FREQ_BTC_USD_2h_2019-10.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,38.77777777777778,43.625,0.9552336483352228,,,,,outputs/fourier/monthly/2019/11/FREQ_BTC_USD_2h_2019-11.csv
2h,BTC,USD,361.0,180.5,90.25,120.33333333333331,72.2,40.11111111111111,0.8187001790244292,,,,,outputs/fourier/monthly/2019/12/FREQ_BTC_USD_2h_2019-12.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,40.11111111111111,45.125,90.25,0.9094318254449888,,,,,outputs/fourier/monthly/2020/01/FREQ_BTC_USD_2h_2020-01.csv
2h,BTC,USD,337.0,168.5,67.39999999999999,112.33333333333331,37.44444444444444,28.08333333333333,0.8869308342346037,,,,,outputs/fourier/monthly/2020/02/FREQ_BTC_USD_2h_2020-02.csv
2h,BTC,USD,349.0,116.33333333333331,174.5,87.25,69.8,58.16666666666666,0.8118903905676761,,,,,outputs/fourier/monthly/2020/04/FREQ_BTC_USD_2h_2020-04.csv
2h,BTC,USD,361.0,180.5,90.25,120.33333333333331,45.125,72.2,0.9231556070216952,,,,,outputs/fourier/monthly/2022/01/FREQ_BTC_USD_2h_2022-01.csv
2h,BTC,USD,325.0,108.33333333333334,162.5,81.25,65.0,54.16666666666667,0.9547979668058348,,,,,outputs/fourier/monthly/2022/02/FREQ_BTC_USD_2h_2022-02.csv
2h,BTC,USD,361.0,180.5,90.25,120.33333333333331,40.11111111111111,30.08333333333333,0.9395322490087712,,,,,outputs/fourier/monthly/2022/03/FREQ_BTC_USD_2h_2022-03.csv
2h,BTC,USD,337.0,168.5,67.39999999999999,56.16666666666666,84.25,22.466666666666665,0.9634136326653546,,,,,outputs/fourier/monthly/2024/02/FREQ_BTC_USD_2h_2024-02.csv
2h,BTC,USD,180.5,361.0,120.33333333333331,51.57142857142858,27.769230769230766,45.125,0.8207395688866668,,,,,outputs/fourier/monthly/2024/03/FREQ_BTC_USD_2h_2024-03.csv
