"K","phase","fold","eq_ret","mdd","trades","tenkan","kijun","senkou_b","shift","atr_mult"
"K3","0","2016","5.578740356388833","0.39233478572610414","181","16",,,"5","14.200000000000001"
"K5","2","2024","4.6502758637511095","0.18236096258788692","103","11",,,"16","11.3"
"K5","2","2025","4.6502758637511095","0.18236096258788692","103","11",,,"16","11.3"
"K3","2","2023","2.4463449148131553","0.12448738332077297","139","29",,,"31","13.3"
"K3","GLOBAL","2015","2.179310739163193","0.4727155089221746","100","26",,,"42","14.600000000000001"
"K5","GLOBAL","2015","2.179310739163193","0.4727155089221746","100","26",,,"42","14.600000000000001"
"K3","GLOBAL","2015","2.1279207407986105","0.3287492134106972","104","29",,,"22","13.200000000000001"
"K5","GLOBAL","2015","2.1279207407986105","0.3287492134106972","104","29",,,"22","13.200000000000001"
"K3","2","2023","2.0064647982830417","0.04496837332717375","136","30",,,"41","10"
"K3","2","2023","1.6529390569876572","0.039029642699680324","139","29",,,"33","10.600000000000001"
"K3","2","2023","1.3056225471721805","0.15293251542319278","137","29",,,"32","10.4"
"K3","0","2016","1.2590656576491246","0.45274561804602903","116","10",,,"71","14.100000000000001"
"K8","0","2023","1.112719383020293","0.19395687191454733","112","13",,,"11","9.3"
"K3","2","2020","0.8556481841691048","0.32886139394722536","142","12",,,"24","2"
"K3","GLOBAL","2016","0.570477806570189","0.4624858254824789","207","6",,,"66","13.4"
"K3","2","2020","0.3029721998502535","0.3128695217756785","143","18",,,"8","6.300000000000001"
"K3","0","2016","0.3007291950836797","0.35481812022665665","124","9",,,"64","14.700000000000001"
"K3","2","2020","0.11817021643794923","0.4835944877158021","184","13",,,"11","9.3"
"K3","2","2020","-0.026195979584446638","0.2406134541859966","137","16",,,"18","14.700000000000001"
