"K","Kind","Seed","Status","Percent","Score","Calmar","CAGRy","CAGRm","MDD","Sharpe","Lyap","Eqx","Trades","Years"
"K2","phase","1","Done","100","-0.7051061218743987","-0.02804988435913313","-0.01100358097808718","-0.0009216223927092093","0.3922861441139731","-2.2905657814720817","-0.011064568172943826","0.8564974363252522","483","14"
"K2","phase","2","NotStarted","0",,,,,,,,,,
"K2","phase","3","NotStarted","0",,,,,,,,,,
"K2","phase","4","NotStarted","0",,,,,,,,,,
"K2","phase","5","NotStarted","0",,,,,,,,,,
"K2","phase","6","NotStarted","0",,,,,,,,,,
"K2","phase","7","NotStarted","0",,,,,,,,,,
"K2","phase","8","NotStarted","0",,,,,,,,,,
"K2","phase","9","NotStarted","0",,,,,,,,,,
"K2","phase","10","NotStarted","0",,,,,,,,,,
"K2","phase","11","NotStarted","0",,,,,,,,,,
"K2","phase","12","NotStarted","0",,,,,,,,,,
"K2","phase","13","NotStarted","0",,,,,,,,,,
"K2","phase","14","NotStarted","0",,,,,,,,,,
"K2","phase","15","NotStarted","0",,,,,,,,,,
"K2","phase","16","NotStarted","0",,,,,,,,,,
"K2","phase","17","NotStarted","0",,,,,,,,,,
"K2","phase","18","NotStarted","0",,,,,,,,,,
"K2","phase","19","NotStarted","0",,,,,,,,,,
"K2","phase","20","NotStarted","0",,,,,,,,,,
"K2","phase","21","NotStarted","0",,,,,,,,,,
"K2","phase","22","NotStarted","0",,,,,,,,,,
"K2","phase","23","NotStarted","0",,,,,,,,,,
"K2","phase","24","NotStarted","0",,,,,,,,,,
"K2","phase","25","NotStarted","0",,,,,,,,,,
"K2","phase","26","NotStarted","0",,,,,,,,,,
"K2","phase","27","NotStarted","0",,,,,,,,,,
"K2","phase","28","NotStarted","0",,,,,,,,,,
"K2","phase","29","NotStarted","0",,,,,,,,,,
"K2","phase","30","NotStarted","0",,,,,,,,,,
"K2","fixed","1","InProgress","63.4",,,,,,,,,,
"K2","fixed","2","NotStarted","0",,,,,,,,,,
"K2","fixed","3","NotStarted","0",,,,,,,,,,
"K2","fixed","4","NotStarted","0",,,,,,,,,,
"K2","fixed","5","NotStarted","0",,,,,,,,,,
"K2","fixed","6","NotStarted","0",,,,,,,,,,
"K2","fixed","7","NotStarted","0",,,,,,,,,,
"K2","fixed","8","NotStarted","0",,,,,,,,,,
"K2","fixed","9","NotStarted","0",,,,,,,,,,
"K2","fixed","10","NotStarted","0",,,,,,,,,,
"K2","fixed","11","NotStarted","0",,,,,,,,,,
"K2","fixed","12","NotStarted","0",,,,,,,,,,
"K2","fixed","13","NotStarted","0",,,,,,,,,,
"K2","fixed","14","NotStarted","0",,,,,,,,,,
"K2","fixed","15","NotStarted","0",,,,,,,,,,
"K2","fixed","16","NotStarted","0",,,,,,,,,,
"K2","fixed","17","NotStarted","0",,,,,,,,,,
"K2","fixed","18","NotStarted","0",,,,,,,,,,
"K2","fixed","19","NotStarted","0",,,,,,,,,,
"K2","fixed","20","NotStarted","0",,,,,,,,,,
"K2","fixed","21","NotStarted","0",,,,,,,,,,
"K2","fixed","22","NotStarted","0",,,,,,,,,,
"K2","fixed","23","NotStarted","0",,,,,,,,,,
"K2","fixed","24","NotStarted","0",,,,,,,,,,
"K2","fixed","25","NotStarted","0",,,,,,,,,,
"K2","fixed","26","NotStarted","0",,,,,,,,,,
"K2","fixed","27","NotStarted","0",,,,,,,,,,
"K2","fixed","28","NotStarted","0",,,,,,,,,,
"K2","fixed","29","NotStarted","0",,,,,,,,,,
"K2","fixed","30","NotStarted","0",,,,,,,,,,
"K3","phase","1","Done","100","7.275770598734625","0.25358697544010517","0.022042748604061524","0.0018185949154616576","0.08692381998644017","23.738126938473062","0.021803319286438427","1.35695941159362","463","14"
"K3","phase","2","NotStarted","0",,,,,,,,,,
"K3","phase","3","NotStarted","0",,,,,,,,,,
"K3","phase","4","NotStarted","0",,,,,,,,,,
"K3","phase","5","NotStarted","0",,,,,,,,,,
"K3","phase","6","NotStarted","0",,,,,,,,,,
"K3","phase","7","NotStarted","0",,,,,,,,,,
"K3","phase","8","NotStarted","0",,,,,,,,,,
"K3","phase","9","NotStarted","0",,,,,,,,,,
"K3","phase","10","NotStarted","0",,,,,,,,,,
"K3","phase","11","NotStarted","0",,,,,,,,,,
"K3","phase","12","NotStarted","0",,,,,,,,,,
"K3","phase","13","NotStarted","0",,,,,,,,,,
"K3","phase","14","NotStarted","0",,,,,,,,,,
"K3","phase","15","NotStarted","0",,,,,,,,,,
"K3","phase","16","NotStarted","0",,,,,,,,,,
"K3","phase","17","NotStarted","0",,,,,,,,,,
"K3","phase","18","NotStarted","0",,,,,,,,,,
"K3","phase","19","NotStarted","0",,,,,,,,,,
"K3","phase","20","NotStarted","0",,,,,,,,,,
"K3","phase","21","NotStarted","0",,,,,,,,,,
"K3","phase","22","NotStarted","0",,,,,,,,,,
"K3","phase","23","NotStarted","0",,,,,,,,,,
"K3","phase","24","NotStarted","0",,,,,,,,,,
"K3","phase","25","NotStarted","0",,,,,,,,,,
"K3","phase","26","NotStarted","0",,,,,,,,,,
"K3","phase","27","NotStarted","0",,,,,,,,,,
"K3","phase","28","NotStarted","0",,,,,,,,,,
"K3","phase","29","NotStarted","0",,,,,,,,,,
"K3","phase","30","NotStarted","0",,,,,,,,,,
"K3","fixed","1","InProgress","81.6",,,,,,,,,,
"K3","fixed","2","NotStarted","0",,,,,,,,,,
"K3","fixed","3","NotStarted","0",,,,,,,,,,
"K3","fixed","4","NotStarted","0",,,,,,,,,,
"K3","fixed","5","NotStarted","0",,,,,,,,,,
"K3","fixed","6","NotStarted","0",,,,,,,,,,
"K3","fixed","7","NotStarted","0",,,,,,,,,,
"K3","fixed","8","NotStarted","0",,,,,,,,,,
"K3","fixed","9","NotStarted","0",,,,,,,,,,
"K3","fixed","10","NotStarted","0",,,,,,,,,,
"K3","fixed","11","NotStarted","0",,,,,,,,,,
"K3","fixed","12","NotStarted","0",,,,,,,,,,
"K3","fixed","13","NotStarted","0",,,,,,,,,,
"K3","fixed","14","NotStarted","0",,,,,,,,,,
"K3","fixed","15","NotStarted","0",,,,,,,,,,
"K3","fixed","16","NotStarted","0",,,,,,,,,,
"K3","fixed","17","NotStarted","0",,,,,,,,,,
"K3","fixed","18","NotStarted","0",,,,,,,,,,
"K3","fixed","19","NotStarted","0",,,,,,,,,,
"K3","fixed","20","NotStarted","0",,,,,,,,,,
"K3","fixed","21","NotStarted","0",,,,,,,,,,
"K3","fixed","22","NotStarted","0",,,,,,,,,,
"K3","fixed","23","NotStarted","0",,,,,,,,,,
"K3","fixed","24","NotStarted","0",,,,,,,,,,
"K3","fixed","25","NotStarted","0",,,,,,,,,,
"K3","fixed","26","NotStarted","0",,,,,,,,,,
"K3","fixed","27","NotStarted","0",,,,,,,,,,
"K3","fixed","28","NotStarted","0",,,,,,,,,,
"K3","fixed","29","NotStarted","0",,,,,,,,,,
"K3","fixed","30","NotStarted","0",,,,,,,,,,
"K5","phase","1","Done","100","2.2273522785651787","0.6574484984940785","0.03363094857104154","0.002760285600818424","0.051153738502825785","6.09858466619548","0.03307779610087517","1.5889749859327307","177","14"
"K5","phase","2","NotStarted","0",,,,,,,,,,
"K5","phase","3","NotStarted","0",,,,,,,,,,
"K5","phase","4","NotStarted","0",,,,,,,,,,
"K5","phase","5","NotStarted","0",,,,,,,,,,
"K5","phase","6","NotStarted","0",,,,,,,,,,
"K5","phase","7","NotStarted","0",,,,,,,,,,
"K5","phase","8","NotStarted","0",,,,,,,,,,
"K5","phase","9","NotStarted","0",,,,,,,,,,
"K5","phase","10","NotStarted","0",,,,,,,,,,
"K5","phase","11","NotStarted","0",,,,,,,,,,
"K5","phase","12","NotStarted","0",,,,,,,,,,
"K5","phase","13","NotStarted","0",,,,,,,,,,
"K5","phase","14","NotStarted","0",,,,,,,,,,
"K5","phase","15","NotStarted","0",,,,,,,,,,
"K5","phase","16","NotStarted","0",,,,,,,,,,
"K5","phase","17","NotStarted","0",,,,,,,,,,
"K5","phase","18","NotStarted","0",,,,,,,,,,
"K5","phase","19","NotStarted","0",,,,,,,,,,
"K5","phase","20","NotStarted","0",,,,,,,,,,
"K5","phase","21","NotStarted","0",,,,,,,,,,
"K5","phase","22","NotStarted","0",,,,,,,,,,
"K5","phase","23","NotStarted","0",,,,,,,,,,
"K5","phase","24","NotStarted","0",,,,,,,,,,
"K5","phase","25","NotStarted","0",,,,,,,,,,
"K5","phase","26","NotStarted","0",,,,,,,,,,
"K5","phase","27","NotStarted","0",,,,,,,,,,
"K5","phase","28","NotStarted","0",,,,,,,,,,
"K5","phase","29","NotStarted","0",,,,,,,,,,
"K5","phase","30","NotStarted","0",,,,,,,,,,
"K5","fixed","1","InProgress","75.6",,,,,,,,,,
"K5","fixed","2","NotStarted","0",,,,,,,,,,
"K5","fixed","3","NotStarted","0",,,,,,,,,,
"K5","fixed","4","NotStarted","0",,,,,,,,,,
"K5","fixed","5","NotStarted","0",,,,,,,,,,
"K5","fixed","6","NotStarted","0",,,,,,,,,,
"K5","fixed","7","NotStarted","0",,,,,,,,,,
"K5","fixed","8","NotStarted","0",,,,,,,,,,
"K5","fixed","9","NotStarted","0",,,,,,,,,,
"K5","fixed","10","NotStarted","0",,,,,,,,,,
"K5","fixed","11","NotStarted","0",,,,,,,,,,
"K5","fixed","12","NotStarted","0",,,,,,,,,,
"K5","fixed","13","NotStarted","0",,,,,,,,,,
"K5","fixed","14","NotStarted","0",,,,,,,,,,
"K5","fixed","15","NotStarted","0",,,,,,,,,,
"K5","fixed","16","NotStarted","0",,,,,,,,,,
"K5","fixed","17","NotStarted","0",,,,,,,,,,
"K5","fixed","18","NotStarted","0",,,,,,,,,,
"K5","fixed","19","NotStarted","0",,,,,,,,,,
"K5","fixed","20","NotStarted","0",,,,,,,,,,
"K5","fixed","21","NotStarted","0",,,,,,,,,,
"K5","fixed","22","NotStarted","0",,,,,,,,,,
"K5","fixed","23","NotStarted","0",,,,,,,,,,
"K5","fixed","24","NotStarted","0",,,,,,,,,,
"K5","fixed","25","NotStarted","0",,,,,,,,,,
"K5","fixed","26","NotStarted","0",,,,,,,,,,
"K5","fixed","27","NotStarted","0",,,,,,,,,,
"K5","fixed","28","NotStarted","0",,,,,,,,,,
"K5","fixed","29","NotStarted","0",,,,,,,,,,
"K5","fixed","30","NotStarted","0",,,,,,,,,,
"K8","phase","1","Done","100","-0.3911492379443787","0.010698771268236778","0.0007559463976443137","6.297371726815548E-05","0.07065730995564112","-1.3254802226224296","0.0007556608140809974","1.0106354095395182","410","14"
"K8","phase","2","NotStarted","0",,,,,,,,,,
"K8","phase","3","NotStarted","0",,,,,,,,,,
"K8","phase","4","NotStarted","0",,,,,,,,,,
"K8","phase","5","NotStarted","0",,,,,,,,,,
"K8","phase","6","NotStarted","0",,,,,,,,,,
"K8","phase","7","NotStarted","0",,,,,,,,,,
"K8","phase","8","NotStarted","0",,,,,,,,,,
"K8","phase","9","NotStarted","0",,,,,,,,,,
"K8","phase","10","NotStarted","0",,,,,,,,,,
"K8","phase","11","NotStarted","0",,,,,,,,,,
"K8","phase","12","NotStarted","0",,,,,,,,,,
"K8","phase","13","NotStarted","0",,,,,,,,,,
"K8","phase","14","NotStarted","0",,,,,,,,,,
"K8","phase","15","NotStarted","0",,,,,,,,,,
"K8","phase","16","NotStarted","0",,,,,,,,,,
"K8","phase","17","NotStarted","0",,,,,,,,,,
"K8","phase","18","NotStarted","0",,,,,,,,,,
"K8","phase","19","NotStarted","0",,,,,,,,,,
"K8","phase","20","NotStarted","0",,,,,,,,,,
"K8","phase","21","NotStarted","0",,,,,,,,,,
"K8","phase","22","NotStarted","0",,,,,,,,,,
"K8","phase","23","NotStarted","0",,,,,,,,,,
"K8","phase","24","NotStarted","0",,,,,,,,,,
"K8","phase","25","NotStarted","0",,,,,,,,,,
"K8","phase","26","NotStarted","0",,,,,,,,,,
"K8","phase","27","NotStarted","0",,,,,,,,,,
"K8","phase","28","NotStarted","0",,,,,,,,,,
"K8","phase","29","NotStarted","0",,,,,,,,,,
"K8","phase","30","NotStarted","0",,,,,,,,,,
"K8","fixed","1","InProgress","80.6",,,,,,,,,,
"K8","fixed","2","NotStarted","0",,,,,,,,,,
"K8","fixed","3","NotStarted","0",,,,,,,,,,
"K8","fixed","4","NotStarted","0",,,,,,,,,,
"K8","fixed","5","NotStarted","0",,,,,,,,,,
"K8","fixed","6","NotStarted","0",,,,,,,,,,
"K8","fixed","7","NotStarted","0",,,,,,,,,,
"K8","fixed","8","NotStarted","0",,,,,,,,,,
"K8","fixed","9","NotStarted","0",,,,,,,,,,
"K8","fixed","10","NotStarted","0",,,,,,,,,,
"K8","fixed","11","NotStarted","0",,,,,,,,,,
"K8","fixed","12","NotStarted","0",,,,,,,,,,
"K8","fixed","13","NotStarted","0",,,,,,,,,,
"K8","fixed","14","NotStarted","0",,,,,,,,,,
"K8","fixed","15","NotStarted","0",,,,,,,,,,
"K8","fixed","16","NotStarted","0",,,,,,,,,,
"K8","fixed","17","NotStarted","0",,,,,,,,,,
"K8","fixed","18","NotStarted","0",,,,,,,,,,
"K8","fixed","19","NotStarted","0",,,,,,,,,,
"K8","fixed","20","NotStarted","0",,,,,,,,,,
"K8","fixed","21","NotStarted","0",,,,,,,,,,
"K8","fixed","22","NotStarted","0",,,,,,,,,,
"K8","fixed","23","NotStarted","0",,,,,,,,,,
"K8","fixed","24","NotStarted","0",,,,,,,,,,
"K8","fixed","25","NotStarted","0",,,,,,,,,,
"K8","fixed","26","NotStarted","0",,,,,,,,,,
"K8","fixed","27","NotStarted","0",,,,,,,,,,
"K8","fixed","28","NotStarted","0",,,,,,,,,,
"K8","fixed","29","NotStarted","0",,,,,,,,,,
"K8","fixed","30","NotStarted","0",,,,,,,,,,
