"K","seed","equity_mult","eq_ret_total","monthly","mdd","trades","final_cap_eur","file"
"K3","seed_1","2.204277453152998","120.43","0.47","6.2","457","2204.28","E:\ichimoku_runs\wfa_phase_k3\seed_1\WFA_phase_K3_BTC_fused_20251009_093142.json"
"K3","seed_2","2.126145279512074","112.61","0.45","14.26","462","2126.15","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k3\seed_2\WFA_phase_K3_BTC_fused_20250926_225608.json"
"K3","seed_2","1.8519250447604687","85.19","0.37","12.54","426","1851.93","E:\ichimoku_runs\wfa_phase_k3\seed_2\WFA_phase_K3_BTC_fused_20251011_175116.json"
"K5","seed_2","1.7851184519469878","78.51","0.35","0","171","1785.12","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k5\seed_2\WFA_phase_K5_BTC_fused_20250927_045946.json"
"K5","seed_1","1.5889749859327307","58.9","0.28","5.12","177","1588.97","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k5\seed_1\WFA_phase_K5_BTC_fused_20250923_111330.json"
"K5","seed_4","1.4343600994443122","43.44","0.21","3.82","176","1434.36","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k5\seed_4\WFA_phase_K5_BTC_fused_20251005_032644.json"
"K3","seed_1","1.35695941159362","35.7","0.18","8.69","463","1356.96","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k3\seed_1\WFA_phase_K3_BTC_fused_20250923_073125.json"
"K5","seed_3","1.3115739330315024","31.16","0.16","3.43","175","1311.57","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k5\seed_3\WFA_phase_K5_BTC_fused_20251001_023324.json"
"K3","seed_3","1.1953726631512072","19.54","0.11","21.99","472","1195.37","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k3\seed_3\WFA_phase_K3_BTC_fused_20251001_004315.json"
"K8","seed_2","1.1153131400739589","11.53","0.06","3.83","371","1115.31","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k8\seed_2\WFA_phase_K8_BTC_fused_20250926_233441.json"
"K8","seed_4","1.0225549686900886","2.26","0.01","6.45","355","1022.55","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k8\seed_4\WFA_phase_K8_BTC_fused_20251004_134611.json"
"K8","seed_1","1.0106354095395182","1.06","0.01","7.07","410","1010.64","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k8\seed_1\WFA_phase_K8_BTC_fused_20250923_080013.json"
"K8","seed_3","0.9476221603210917","-5.24","-0.03","5.35","341","947.62","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k8\seed_3\WFA_phase_K8_BTC_fused_20250930_152755.json"
