K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
fixed,27,54,189,41,8.3,15.176001582145503,254,2.8035823984835613,0.4590841555992713,1.0,1.5198746857699181
fixed,26,78,182,48,9.1,13.379474000170454,249,2.7720171620909064,0.4359545781618457,1.0,1.4939966707030974
fixed,20,60,180,53,8.5,11.224678247479495,242,2.671160575769623,0.4046591989101913,1.0,1.424094105134831
fixed,25,125,200,18,13.5,9.604619517720973,210,2.5488131943941355,0.4488809735618131,1.0,1.363952208705025
fixed,20,80,180,48,7.2,9.40802979900597,242,2.714781196911486,0.3743193005987784,1.0,1.4411645083265252
fixed,25,50,200,42,7.4,9.289919401303672,241,2.715977691015308,0.3721920269336896,1.0,1.4412442226892916
fixed,25,50,200,33,7.9,8.499017106212792,261,2.5445939163320554,0.3573771465790947,1.0,1.3339694937729616
fixed,27,108,189,48,14.8,8.370638768284003,232,3.1070237412135566,0.35487253410261244,1.0,1.6706760049589175
fixed,30,90,240,2,10.9,8.14312313892484,219,2.4027166919142147,0.41553282474223385,1.0,1.266289862571199
fixed,21,84,189,43,11.600000000000001,8.06687803986358,198,2.7917567345193417,0.41367266842587047,1.0,1.4991558412393662
fixed,22,44,176,52,7.1000000000000005,7.669525538729964,243,2.559625637697518,0.34064658070814136,1.0,1.3379693568309532
fixed,22,66,176,48,8.100000000000001,7.6177640109643665,239,2.5861400707490154,0.3395573350982519,1.0,1.3535512429788847
fixed,21,42,189,37,9.200000000000001,7.3184295948113185,249,2.5066685622887954,0.33314505674162587,1.0,1.303944654395765
fixed,23,69,184,40,8.3,7.306679060891064,241,2.5530998876999504,0.33288929507872234,1.0,1.3317267211435868
fixed,27,108,189,53,8.3,7.18735975106155,226,2.6167253503701113,0.3302743321618149,1.0,1.3691175098706112
fixed,28,84,196,42,9.6,7.1090405443612,238,2.5505095997827127,0.32853995155781934,1.0,1.3288677453369735
fixed,19,57,171,47,9.1,6.942152044010449,237,2.5335046657821945,0.32479537138020786,1.0,1.317541410883379
fixed,26,104,182,55,8.3,6.892844704528604,224,2.5994615905285263,0.3236760191173087,1.0,1.3567797600523084
K8,6,6,36,25,6.1000000000000005,6.75290193025276,100,3.2970437855481878,0.6885144607639853,1.0,1.8847806095581079
fixed,22,110,154,67,6.4,6.573965935690361,223,2.397730519468265,0.3162874610114539,1.0,1.233524549984395
fixed,27,81,216,22,9.0,6.472053011362131,250,2.3019492735432334,0.3138693716232839,1.0,1.1753303756129252
fixed,24,48,168,51,8.700000000000001,6.375966116922477,228,2.520714853811258,0.31156326705304527,1.0,1.3058978924026683
fixed,24,120,168,50,11.600000000000001,6.304626980114136,204,2.565971310452207,0.36650158517379916,1.0,1.3495332618234637
fixed,20,60,180,36,10.3,6.289952769065199,258,2.3579059722469684,0.3094767994411993,1.0,1.2075866231805408
fixed,26,104,182,53,10.100000000000001,6.107884226434036,229,2.4857525787394263,0.30498913988382115,1.0,1.2829482892088022
fixed,20,100,180,49,11.200000000000001,6.032059060441362,205,2.622999126574736,0.3583657361116914,1.0,1.381309196778349
fixed,20,80,180,37,14.200000000000001,5.867301338420234,200,2.538646801341369,0.35331807295961815,1.0,1.3291835026927068
fixed,27,81,162,49,6.4,5.75703137141911,264,2.1387254413409975,0.2960535585928088,1.0,1.072051332382441
fixed,28,84,168,58,10.0,5.746492603530591,222,2.47898339422964,0.2957790055412286,1.0,1.2761237382001525
fixed,22,88,154,47,7.7,5.720324932631919,259,2.293610039723937,0.29509568643291684,1.0,1.1646947297642372
fixed,22,110,198,53,8.5,5.706096787349013,189,2.494311187338616,0.34827947396978565,1.0,1.3010705545941053
fixed,20,80,180,35,7.300000000000001,5.690822038695325,265,2.2601610206255036,0.2943225108929983,1.0,1.1443933656432017
fixed,16,80,144,70,8.6,5.629397368770335,195,2.6329440804823356,0.34584622807973076,1.0,1.3835203167133205
fixed,25,50,200,21,6.300000000000001,5.613583068018941,266,2.10757067321792,0.2922842829681136,1.0,1.0522276888211861
fixed,22,110,176,21,12.3,5.613253349786794,246,2.118594557580832,0.3453310471648132,1.0,1.074756048697943
K8,22,22,198,37,9.3,5.576174263371043,180,2.5873717218506704,0.42021228484728446,1.0,1.3784867185645877
fixed,19,76,133,65,14.9,5.474934052892804,199,2.4526953249280607,0.3408730625856893,1.0,1.2738791137325431
fixed,29,116,203,50,6.7,5.433345150559723,224,2.263880396482719,0.2874468386602802,1.0,1.1445622894877154
fixed,29,58,174,36,10.3,5.429374820592377,273,2.2007369568527175,0.28733896598902375,1.0,1.1066438639083376
fixed,22,66,154,66,7.7,5.417978971845106,212,2.5005200204285734,0.28702902411272246,1.0,1.2864207194909607
fixed,16,80,128,62,11.0,5.414849565653308,209,2.3785796154730896,0.3389115089082384,1.0,1.228821221956325
fixed,29,116,174,38,8.3,5.391175643844576,267,2.2205910146508314,0.28629815365316724,1.0,1.1182440548864487
fixed,24,120,192,46,8.6,5.3515083817154245,131,3.0119739003345356,0.5270606550848149,1.0,1.6653025367261658
fixed,15,75,120,72,14.3,5.351506208028964,206,2.3873225169503325,0.33682672161620975,1.0,1.2334415266550622
fixed,23,92,161,79,9.200000000000001,5.348805550953215,214,2.471265324894272,0.2851373884778996,1.0,1.268300411479933
fixed,19,95,133,55,14.4,5.338373801802391,219,2.313243481432308,0.33639230942721143,1.0,1.1888637816875482
fixed,24,96,168,45,12.8,5.331606345858598,242,2.3247162074256065,0.28466429015213324,1.0,1.1802290115010037
fixed,23,69,138,33,11.5,5.32734893593882,301,1.9538023774250894,0.2845470101491172,1.0,0.9576455294997888
fixed,27,54,189,13,9.9,5.315529048878831,281,2.0214841457582713,0.2842210466859223,1.0,0.9981568014607394
fixed,29,116,203,44,6.300000000000001,5.308817588119803,243,2.1595195698805822,0.28403572631807417,1.0,1.0809224598237714
fixed,21,84,189,50,8.5,5.2958860660988565,132,2.964460603673111,0.5239878903517774,1.0,1.6358727293093998
fixed,20,100,180,53,10.8,5.234825868809926,132,2.985997576930095,0.5205905237328994,1.0,1.6477757032779268
fixed,25,100,175,47,14.9,5.217389225919831,232,2.917540151172843,0.2814940366890799,1.0,1.5349723017104295
fixed,21,105,189,46,10.200000000000001,5.20999990975742,132,2.974037101010409,0.5192018787737842,1.0,1.6401828242383807
fixed,16,48,144,59,11.5,5.135960570652319,244,2.283994581127904,0.2792029927287425,1.0,1.1541576464953651
fixed,20,60,160,46,9.9,5.127825957794164,258,2.224981309759123,0.27897267930020875,1.0,1.1186805896455363
fixed,22,110,154,46,11.5,5.087089289604089,229,2.277522318164115,0.32793020843087417,1.0,1.164892453427731
fixed,18,72,162,70,9.5,5.083203830159453,177,2.689770192252051,0.3277970694142218,1.0,1.412201236175497
fixed,20,100,180,48,9.4,5.074407880636808,198,2.5355129924082553,0.32749540268679644,1.0,1.319556416250992
fixed,20,100,180,51,10.600000000000001,5.071527216376695,197,2.5404746478018674,0.3273965271036574,1.0,1.3225037468122176
fixed,27,27,162,64,8.100000000000001,5.0641284182292585,216,2.4285415387846,0.27716003273571865,1.0,1.2402729330914755
fixed,22,22,198,40,8.5,5.037369888506312,246,2.293243427625802,0.2763936506991185,1.0,1.1588641517852165
fixed,21,84,147,62,7.800000000000001,5.022685195169505,205,2.4756743117863103,0.3257140304822592,1.0,1.2831187962164636
fixed,29,87,174,51,12.9,4.967831097345638,230,2.881353311107796,0.2743881985034349,1.0,1.5111284462157077
K8,22,110,198,20,12.0,4.958178002521442,139,2.6662908747088796,0.504868514060105,1.0,1.4512350790433592
fixed,26,104,182,33,6.1000000000000005,4.95658010304538,271,2.020982196593042,0.27406183112986127,1.0,0.9948078672947835
fixed,22,66,132,59,8.9,4.950613117625348,149,2.7575676838669034,0.5044307605677001,1.0,1.505869838490452
