K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
fixed,8,40,40,57,9.8,1.2313401932204058,262,4.140747104254169,0.16124223281385897,0.8999639735509778,2.262831740331366
fixed,8,40,40,57,8.100000000000001,1.1068300034233873,264,3.916005546167183,0.14888950590458472,1.0,2.0942701794716854
fixed,8,32,32,52,6.0,1.1692195860068515,296,3.896800149487727,0.15515134500539096,1.0,2.0846254931942534
fixed,27,108,189,42,5.6000000000000005,1.986988592776945,264,3.840300796540623,0.16012170532290382,1.0,2.052216989521245
fixed,9,36,36,58,5.9,1.044494110612208,260,3.828878780981219,0.14248049651448036,0.9766760423862675,2.0470686048271953
fixed,8,32,32,52,5.6000000000000005,1.1115370651276848,297,3.829744743233642,0.1493671636864884,1.0,2.042656995046132
fixed,6,30,30,63,7.5,0.8561855740025763,250,3.777751023545132,0.12210272737018313,0.9819460131892288,2.008697628381366
fixed,6,30,30,63,7.5,0.8561855740025763,250,3.777751023545132,0.12210272737018313,0.9819460131892288,2.008697628381366
fixed,8,32,32,52,7.9,1.0481178216614166,290,3.663974528683831,0.1428573878501791,1.0,1.9412419335653521
fixed,8,32,32,54,7.300000000000001,0.9420963247398928,263,3.584421075911096,0.13159873037081726,0.8436332923194629,1.9370422769620637
fixed,8,32,40,54,6.800000000000001,1.0428996243936015,269,3.5869311760917184,0.1423144865396706,1.0,1.8948530516169322
fixed,8,32,32,54,9.4,1.0175255583280185,264,3.5595905870461695,0.13965837006131032,1.0,1.8776518632460946
fixed,8,40,40,54,5.6000000000000005,1.0216942558939435,269,3.5511230795613162,0.14009660182424266,1.0,1.8727028282840623
fixed,6,30,30,62,5.6000000000000005,0.6205525286882916,258,3.4989681115567617,0.09408540561715006,1.0,1.827606488619202
fixed,8,40,40,56,6.6000000000000005,0.9433848211659102,279,3.4523057463988214,0.1317385281690242,1.0,1.8109050062899998
fixed,6,30,30,62,7.800000000000001,0.6384150100716623,256,3.4656093060639837,0.09632156830743388,1.0,1.8082620541306202
fixed,10,40,40,54,6.6000000000000005,0.992904345034723,269,3.441814653415436,0.1370549468866944,1.0,1.8062052761152698
fixed,8,32,32,50,6.1000000000000005,0.9411309134900663,306,3.401661181932319,0.13149393682704114,1.0,1.7804448902075032
fixed,7,28,28,59,8.2,0.6989775168421699,258,3.3285182681722816,0.10375849832636708,0.9628273393884941,1.7393903085847309
fixed,6,30,30,52,8.4,0.9243333375248843,297,3.321135164377519,0.12966376832825,1.0,1.7315802291249864
fixed,7,35,35,46,5.2,0.904660326027531,313,3.2139102829450072,0.12750370590715954,1.0,1.666597281539152
fixed,12,36,48,51,8.100000000000001,0.6625463897561652,263,3.217304176016723,0.0993112263409257,1.0,1.6601758735123113
fixed,7,35,35,48,5.7,0.7846955307531356,302,3.2042376532362815,0.11392405931552618,1.0,1.6567198097364266
fixed,10,30,30,52,8.9,0.8838477857660618,291,3.167125911867282,0.12519867084893788,1.0,1.6378351483750504
fixed,10,30,40,55,7.6000000000000005,0.8488063587125922,282,3.0711544385139264,0.12127050835622755,1.0,1.579073815615224
fixed,28,112,196,44,3.8000000000000003,1.06673035573497,276,3.0781352639541946,0.10355387340532274,1.0,1.5779473203941135
fixed,28,112,196,32,5.9,1.5715696378171407,268,3.0517133930800586,0.13677967676724956,1.0,1.57206193887821
fixed,26,104,182,48,4.5,1.0370284078595624,267,3.055434049016577,0.10138774511650661,1.0,1.563676752944898
fixed,9,36,36,48,5.1000000000000005,0.7843379980521266,309,3.041340435280023,0.11388249168674514,1.0,1.5589690086740373
fixed,27,54,189,41,8.3,15.176001582145503,254,2.8035823984835613,0.4590841555992713,1.0,1.5198746857699181
fixed,8,32,32,51,7.2,0.63440011790653,288,2.9492737603712715,0.09582068796673315,1.0,1.4983104626127828
fixed,9,36,36,48,6.1000000000000005,0.7023796341143334,301,2.916623281721204,0.10416983249447931,1.0,1.4812249187810662
fixed,28,112,196,34,12.700000000000001,12.284632116229567,251,2.7568304873934433,0.42060215765304054,1.0,1.480278939731978
fixed,8,32,32,51,6.800000000000001,0.6198468256642822,289,2.9044162451237243,0.09399664921619832,1.0,1.470848741839094
fixed,7,28,28,55,6.0,0.7423788657924832,277,2.863008461684947,0.10895647002954179,1.0,1.4504920180198306
fixed,5,20,25,55,5.800000000000001,0.685819764436638,282,2.8292707423385797,0.10216131962052288,1.0,1.4282108412893046
fixed,8,40,40,53,3.8000000000000003,0.6068591838353041,280,2.79472493998099,0.0923575459322985,1.0,1.4045422277682835
fixed,10,50,50,44,2.9000000000000004,0.6141168425165389,306,2.7882956256440634,0.09327482081483063,1.0,1.4009598216308872
fixed,11,55,55,28,3.6,0.6355608742026795,379,2.7068779607561795,0.09596560162849666,1.0,1.3529164569422567
fixed,5,25,25,53,4.8,0.6863156960490542,298,2.696846658486021,0.10222170286881327,1.0,1.3487745059522565
