K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
K8,20,20,140,75,3.3000000000000003,0.2925040415870088,50,7.947183665532175,0.05305064424316153,0.19223631886869894,4.7265544969316435
K3,27,54,243,1,11.700000000000001,4.884904474356864,63,4.007723137703032,1.1136146287261837,0.1470569519141611,2.6946011856654253
K5,27,54,243,1,11.700000000000001,4.884904474356864,63,4.007723137703032,1.1136146287261837,0.1470569519141611,2.6946011856654253
K8,18,18,108,82,3.9000000000000004,3.46918070433653,53,4.159323978113293,0.3520601067106439,0.28656395612758334,2.515243232042894
K5,30,120,120,56,12.0,0.35097874008112817,52,4.148505467735176,0.1020268928097341,0.043643862313991255,2.5066181897898283
K5,24,120,120,59,12.5,0.3205099537530278,50,4.299774434061651,0.09393832261885615,0.40289639132106875,2.4871772398263268
K8,5,20,20,34,13.0,1.8171340371745845,55,2.9388782650916836,0.1387254379348295,0.16327579539942372,1.7559618518156317
fixed,24,120,192,14,14.600000000000001,2.5984945849548184,115,2.5872633039992783,0.46265117925319155,0.04344861063265129,1.678118752985729
K3,26,104,182,42,14.600000000000001,2.179310739163193,100,2.7519590095454385,0.4098353315759211,0.4727155089221746,1.632311352523387
K5,26,104,182,42,14.600000000000001,2.179310739163193,100,2.7519590095454385,0.4098353315759211,0.4727155089221746,1.632311352523387
K3,29,29,203,22,13.200000000000001,2.1279207407986105,104,2.6779579679433567,0.40302947849061077,0.3287492134106972,1.629058860289988
K5,29,29,203,22,13.200000000000001,2.1279207407986105,104,2.6779579679433567,0.40302947849061077,0.3287492134106972,1.629058860289988
fixed,27,135,189,20,14.3,2.6277454561189866,116,2.5805456232542228,0.4661716991692437,0.21856731625478232,1.622608688826872
K3,13,26,78,13,8.3,0.6659288053819024,61,2.7925265751151267,0.29739627003240665,0.47524013849281904,1.6221627845309523
K8,16,80,128,87,3.0,0.09693065467063611,54,2.751662921209306,0.01881320009855325,0.3934611213025202,1.5386033763643934
K8,16,80,128,87,3.0,0.09693065467063611,54,2.751662921209306,0.017736865560366466,0.3934611213025202,1.5382804760029374
K8,16,80,128,87,3.0,0.09693065467063611,54,2.751662921209306,0.017736865560366466,0.3934611213025202,1.5382804760029374
K8,16,80,128,87,3.0,0.09693065467063611,54,2.751662921209306,0.017736865560366466,0.3934611213025202,1.5382804760029374
K3,16,32,96,5,14.200000000000001,5.578740356388833,181,2.4463558901768354,0.5844700660696265,0.39233478572610414,1.5254541182091579
K8,29,87,87,31,14.5,0.9276072105831248,59,2.4669924996055443,0.18277265757568872,0.37731899512018735,1.421831598499977
K5,11,11,77,88,12.9,0.11171745108679931,60,1.681858183593367,0.026499313570329974,0.48662560883583805,0.8710770215763679
K3,11,44,88,7,14.5,0.0774049737878697,50,1.43505317397737,0.012220066161110044,0.07385568694917428,0.8425412181500027
K3,6,24,42,45,4.1,0.019816289038972812,50,0.7395485281437484,0.010060209742926984,0.005929184039175074,0.44496842459737457
K8,9,18,45,14,6.2,0.003473367352584633,65,0.29932720300375176,0.0005773996642179924,0.11923618801783296,0.14399868529616655
K5,17,17,153,80,14.100000000000001,-0.05480362701437003,54,0.021433632746962313,-0.013822730660845717,0.32711229880437476,-0.08942032919138876
K3,16,64,96,6,6.7,-0.03744918544385423,52,-0.2872787080680727,-0.006198823208282689,0.3897537835667422,-0.2911530068733511
