date,symbol,timeframe,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
2h,BTC,USD,151.0,75.5,50.33333333333333,0.8803775014393658,,,,
2h,BTC,USD,361.0,180.5,60.16666666666666,0.983129779106564,,,,
2h,BTC,USD,361.0,120.33333333333331,180.5,0.7456841990779556,,,,
2h,BTC,USD,174.5,349.0,116.33333333333331,0.8881074981827926,,,,
2h,BTC,USD,361.0,120.33333333333331,180.5,0.977975913169844,,,,
2h,BTC,USD,349.0,174.5,69.8,0.9552300033159232,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9727667395491132,,,,
2h,BTC,USD,361.0,120.33333333333331,60.16666666666666,0.8638700025511301,,,,
2h,BTC,USD,325.0,108.33333333333334,162.5,0.9435925994384688,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8967486597709088,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9316680140222732,,,,
2h,BTC,USD,361.0,180.5,25.78571428571429,0.952960715067286,,,,
2h,BTC,USD,174.5,349.0,116.33333333333331,0.844187600283967,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9590484336679944,,,,
2h,BTC,USD,361.0,120.33333333333331,90.25,0.871901816119587,,,,
2h,BTC,USD,116.33333333333331,174.5,349.0,0.8188281890223574,,,,
2h,BTC,USD,361.0,180.5,60.16666666666666,0.950670650610882,,,,
2h,BTC,USD,349.0,174.5,69.8,0.9247079699944812,,,,
2h,BTC,USD,349.0,174.5,87.25,0.6575162088357144,,,,
2h,BTC,USD,361.0,180.5,51.57142857142858,0.8507320200354245,,,,
2h,BTC,USD,180.5,120.33333333333331,361.0,0.8641339899853782,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.941465078948054,,,,
2h,BTC,USD,120.33333333333331,180.5,90.25,0.8993156674698816,,,,
2h,BTC,USD,349.0,174.5,69.8,0.9545771587042928,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9576357213124204,,,,
2h,BTC,USD,361.0,120.33333333333331,180.5,0.8474184129843658,,,,
2h,BTC,USD,325.0,108.33333333333334,162.5,0.9095227209945608,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8775251959097747,,,,
2h,BTC,USD,349.0,174.5,87.25,0.8122755118898534,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9164412932016204,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9791893285581614,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8648716852369518,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8883483771732371,,,,
2h,BTC,USD,349.0,87.25,174.5,0.9579858450352212,,,,
2h,BTC,USD,361.0,180.5,72.2,0.867971794846841,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9552336483352228,,,,
2h,BTC,USD,361.0,180.5,90.25,0.8187001790244292,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9094318254449888,,,,
2h,BTC,USD,337.0,168.5,67.39999999999999,0.8869308342346037,,,,
2h,BTC,USD,349.0,116.33333333333331,174.5,0.8118903905676761,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9231556070216952,,,,
2h,BTC,USD,325.0,108.33333333333334,162.5,0.9547979668058348,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9395322490087712,,,,
2h,BTC,USD,337.0,168.5,67.39999999999999,0.9634136326653546,,,,
2h,BTC,USD,180.5,361.0,120.33333333333331,0.8207395688866668,,,,
2h,BTC,USD,174.5,349.0,116.33333333333331,0.8586622735320073,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9118362954967006,,,,
2h,BTC,USD,349.0,174.5,38.77777777777778,0.8910762738497459,,,,
2h,BTC,USD,361.0,180.5,72.2,0.9710657927824744,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.703979210112956,,,,
2h,BTC,USD,349.0,116.33333333333331,174.5,0.9119674650695564,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9469083731725874,,,,
2h,BTC,USD,349.0,116.33333333333331,174.5,0.9643569875228906,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9165933651084952,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9179287443260526,,,,
2h,BTC,USD,325.0,65.0,81.25,0.720667060348518,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8174997188825114,,,,
2h,BTC,USD,349.0,116.33333333333331,69.8,0.930267067893764,,,,
2h,BTC,USD,361.0,120.33333333333331,180.5,0.9115972465031764,,,,
2h,BTC,USD,349.0,87.25,174.5,0.7283060576864431,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9184855651149044,,,,
2h,BTC,USD,180.5,72.2,90.25,0.7612010453137131,,,,
2h,BTC,USD,349.0,116.33333333333331,174.5,0.5557509237052275,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9777883786133555,,,,
2h,BTC,USD,349.0,174.5,69.8,0.8549660802056671,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9305682705676738,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9674569523353622,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9261759907796272,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.95380219154752,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.8888834841887391,,,,
2h,BTC,USD,361.0,120.33333333333331,51.57142857142858,0.8413073591057552,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9423510416330731,,,,
2h,BTC,USD,349.0,116.33333333333331,87.25,0.943408331594294,,,,
2h,BTC,USD,180.5,361.0,120.33333333333331,0.8885819397471382,,,,
