phase,param,median,q25,q75,iqr,count
0,tenkan,27.0,16.25,28.0,11.75,294
0,kijun,100.0,48.0,135.0,87.0,294
0,senkou_b,180.0,60.75,243.0,182.25,294
0,shift,93.0,44.0,99.0,55.0,294
0,atr_mult,11.75,9.2,15.700000000000001,6.500000000000002,294
1,tenkan,29.0,24.0,30.0,6.0,294
1,kijun,52.0,29.0,84.0,55.0,294
1,senkou_b,210.0,130.0,270.0,140.0,294
1,shift,96.0,44.0,98.0,54.0,294
1,atr_mult,19.3,16.6,21.575000000000003,4.975000000000001,294
2,tenkan,21.0,11.0,29.0,18.0,294
2,kijun,35.0,24.0,60.0,36.0,294
2,senkou_b,90.0,26.0,243.0,217.0,294
2,shift,44.0,40.0,61.0,21.0,294
2,atr_mult,10.450000000000001,7.1,20.55,13.450000000000001,294
