"K","phase","seeds","folds","tenkan_med","tenkan_iqr","kijun_med","kijun_iqr","senkou_b_med","senkou_b_iqr","shift_med","shift_iqr","atr_med","atr_iqr"
"K2","0","1","14","24","19","46","37.5","160.5","205","34.5","50","8.75","9.7"
"K2","1","1","14","19","8.5","95","5","171","9","69","12.75","12.9","6.75"
"K2","nan","1","14","7","0","7","0","28","0","40","0","7.8","0"
"K3","0","2","28","8","6.75","40","30","35.5","52","32","33","3.975","8.512"
"K3","1","2","28","29","5.25","35","62.5","240","54","64.5","50.5","13.85","5.1"
"K3","2","2","28","18","18.75","40","41.25","115","204.75","44.5","25.25","7.975","3.888"
"K3","nan","2","28","7","1.25","7","17","28","2","40","5.25","7.8","4.75"
"K5","0","1","14","26","0.75","130","56.75","78","0","57","3","13.8","2.075"
"K5","1","1","12","27.5","10.25","58.5","22.5","225","202.5","65","20.75","13.65","7.6"
"K5","2","1","14","24","9.5","59","49.5","64","120.75","39","48.25","11.4","2.9"
"K5","3","1","14","21","8","85.5","59.25","168","44.75","54.5","63.25","7.15","4.275"
"K5","4","1","13","25","3","100","52","224","51","37","32","11.8","0.5"
"K5","nan","1","14","7","0","7","0","28","0","40","0","7.8","0"
"K8","0","1","13","28","10","87","40","116","160","81","27","11.3","2"
"K8","1","1","12","13.5","13","53","45","40","68.5","54","18.5","8.5","7.125"
"K8","2","1","13","27","2","135","10","27","27","77","2","3.8","1.6"
"K8","3","1","12","28.5","16","70","86.75","232","154.5","73","65.5","8.5","6.025"
"K8","4","1","12","21.5","10.75","87","63.75","152","138","55.5","21.75","11.65","6.7"
"K8","5","1","14","18","0","90","0","144","0","75","0","8.7","0"
"K8","6","1","13","11","10","51","35","99","75","3","46","9.1","4.9"
"K8","7","1","13","12","3","48","4","60","12","87","0","10.1","2"
"K8","nan","1","14","7","0","7","0","28","0","40","0","7.8","0"
