K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
fixed,8,32,32,52,6.0,1.1692195860068515,296,3.896800149487727,0.15515134500539096,1.0,2.0846254931942534
fixed,8,32,32,52,5.6000000000000005,1.1115370651276848,297,3.829744743233642,0.1493671636864884,1.0,2.042656995046132
fixed,8,32,32,52,7.9,1.0481178216614166,290,3.663974528683831,0.1428573878501791,1.0,1.9412419335653521
fixed,5,25,40,58,6.800000000000001,3.46699446759336,542,3.409306821422057,0.15529509939424746,1.0,1.7921726226715087
fixed,8,32,32,50,6.1000000000000005,0.9411309134900663,306,3.401661181932319,0.13149393682704114,1.0,1.7804448902075032
K3,13,26,65,28,2.1,0.7827568479440217,289,3.348598512986262,0.11130375247751001,0.9972541743197034,1.7433739812390994
fixed,6,30,30,52,8.4,0.9243333375248843,297,3.321135164377519,0.12966376832825,1.0,1.7315802291249864
K3,5,25,35,50,6.300000000000001,1.6729610360946672,478,3.292749004968789,0.12469230294711986,1.0,1.7130570938654095
K5,5,25,35,50,6.300000000000001,1.6729610360946672,478,3.292749004968789,0.12469230294711986,1.0,1.7130570938654095
K8,5,25,35,50,6.300000000000001,1.6729610360946672,478,3.292749004968789,0.12469230294711986,1.0,1.7130570938654095
K3,9,36,36,31,2.2,0.6268418509042011,300,3.2992406010663977,0.09289302237685249,1.0,1.7074122673528944
fixed,5,25,40,58,8.0,3.038821396885899,535,3.2321572544981305,0.1441218411062013,1.0,1.6825309050307384
fixed,7,35,35,46,5.2,0.904660326027531,313,3.2139102829450072,0.12750370590715954,1.0,1.666597281539152
K3,29,116,232,12,5.5,2.294273113852452,303,3.195128290203606,0.15314016420301524,1.0,1.6630190233830682
K5,29,116,232,12,5.5,2.294273113852452,303,3.195128290203606,0.15314016420301524,1.0,1.6630190233830682
K8,29,116,232,12,5.5,2.294273113852452,303,3.195128290203606,0.15314016420301524,1.0,1.6630190233830682
K3,12,24,48,29,4.1,0.7047517184308303,284,3.2150078090054315,0.10226488470317041,1.0,1.6596841508142097
fixed,7,35,35,48,5.7,0.7846955307531356,302,3.2042376532362815,0.11392405931552618,1.0,1.6567198097364266
fixed,10,30,30,52,8.9,0.8838477857660618,291,3.167125911867282,0.12519867084893788,1.0,1.6378351483750504
fixed,27,81,189,42,5.800000000000001,3.131791606399406,422,3.124548712496184,0.13292583939941793,1.0,1.6146069793175357
fixed,7,35,35,52,4.1,1.9858546760619165,523,3.128805932306826,0.12384611080660113,1.0,1.6144373926260756
fixed,7,35,35,52,2.6,1.7221164166205623,559,3.123016180711734,0.11280770938441398,1.0,1.6076520212423644
K3,15,15,90,1,9.5,36.310288647422595,307,2.813531032474362,0.6883424442446093,1.0,1.594621352758
fixed,10,30,40,55,7.6000000000000005,0.8488063587125922,282,3.0711544385139264,0.12127050835622755,1.0,1.579073815615224
K3,13,13,91,1,8.0,34.48323373906559,308,2.7849555167217144,0.676119812963099,0.9979482468587645,1.5744247798643292
K3,7,14,42,36,2.2,0.5842435530181651,282,3.0787873409341837,0.08761263998432844,1.0,1.5735561965558087
K3,13,13,91,1,11.5,33.271832847815254,305,2.7827328369747417,0.6677155304938152,1.0,1.5699543613329896
K3,13,13,91,1,11.100000000000001,33.53771695066443,306,2.7815123836042748,0.6695816589196015,1.0,1.5697819278384453
fixed,9,36,36,48,5.1000000000000005,0.7843379980521266,309,3.041340435280023,0.11388249168674514,1.0,1.5589690086740373
K3,13,13,91,1,12.5,32.308267551835506,306,2.7642983654490108,0.6608472383681978,1.0,1.5568331907798656
K3,11,11,77,1,12.700000000000001,34.06479111642497,323,2.7311791649682857,0.6732449353457068,1.0,1.5406809795846834
K3,18,18,90,2,9.0,33.26033692598405,318,2.7280194555288584,0.6676345665556289,1.0,1.5371020432840037
K3,15,30,75,1,10.0,32.24729330392487,312,2.727332089745041,0.6604069216158064,1.0,1.5345213303317664
K3,10,20,60,8,3.6,1.3149208822363123,350,2.962827979464995,0.16557478786779245,1.0,1.5273692240393348
fixed,5,25,35,63,5.5,1.606531028888381,466,2.973677571931214,0.10766598078249934,1.0,1.516506337393478
K3,30,30,270,41,14.8,9.753322910483128,289,2.897111132482801,0.2574496866689613,1.0,1.5155015854903688
K5,30,30,270,41,14.8,9.753322910483128,289,2.897111132482801,0.2574496866689613,1.0,1.5155015854903688
K8,30,30,270,41,14.8,9.753322910483128,289,2.897111132482801,0.2574496866689613,1.0,1.5155015854903688
K3,12,12,84,1,10.9,27.253618181195833,309,2.70009346812303,0.621758025432886,1.0,1.5065834885036837
K3,12,12,84,1,11.0,27.172034528716022,309,2.698645657039587,0.6210795206456854,1.0,1.505511250417458
K3,12,12,84,7,11.9,26.434879027191073,303,2.6994062802180125,0.6148714302159048,0.9969474310545192,1.5050209678792232
K3,15,15,90,2,11.8,30.769687799390088,322,2.6808425214178477,0.6495195226703336,1.0,1.5033613696518087
fixed,6,30,30,63,3.7,1.7604808748518037,479,2.9461532605211196,0.11447125442878203,1.0,1.5020333326413062
K3,14,14,84,7,9.0,27.43313978563217,308,2.6880716349036016,0.6232451677285502,0.9954047538222237,1.5011951051140588
fixed,8,32,32,51,7.2,0.63440011790653,288,2.9492737603712715,0.09582068796673315,1.0,1.4983104626127828
fixed,7,35,35,51,4.0,1.6504838354398035,527,2.942076518230659,0.10964474563855942,1.0,1.4981393346299632
fixed,7,28,28,59,3.2,2.168470494218183,582,2.9263884793427017,0.11765080956557794,1.0,1.4911283304752943
K3,13,26,91,2,12.700000000000001,29.278561645013067,319,2.665488778585146,0.6380842356065568,1.0,1.4907185378330545
K3,9,18,54,30,2.4000000000000004,0.6256530097844959,287,2.937755599259864,0.0927471983698267,1.0,1.4904775190668664
fixed,30,120,270,37,10.600000000000001,1.503670294378825,312,2.9413537845491575,0.08408339530106201,1.0,1.490037289319813
K3,15,15,90,2,8.3,30.675759911738457,326,2.655851323756501,0.6488128965332427,0.998263282824908,1.4886756783664008
fixed,7,35,35,50,5.0,1.7241154895755484,538,2.918464833537741,0.11289490806002478,1.0,1.4849473725406521
K3,15,15,75,2,11.0,29.45134681358371,338,2.6511276715657592,0.6394336673700054,1.0,1.482506703150457
fixed,9,36,36,48,6.1000000000000005,0.7023796341143334,301,2.916623281721204,0.10416983249447931,1.0,1.4812249187810662
K3,11,11,77,2,10.4,30.91835880406343,346,2.642912989456772,0.6506343412099926,1.0,1.4809380960370608
K3,5,15,35,82,4.1,0.9601396781611955,328,2.9178970345762525,0.0956508478342668,1.0,1.4794334750960314
K5,5,15,35,82,4.1,0.9601396781611955,328,2.9178970345762525,0.0956508478342668,1.0,1.4794334750960314
K8,5,15,35,82,4.1,0.9601396781611955,328,2.9178970345762525,0.0956508478342668,1.0,1.4794334750960314
K3,11,11,77,2,13.8,30.347334681890885,344,2.6422541396182466,0.6463279588897326,1.0,1.4792508714378676
K3,7,21,35,32,4.2,0.8050174677122857,288,2.906466424443959,0.11382383973013988,1.0,1.4780270065854173
K3,14,14,98,1,9.0,21.228950373090978,282,2.6736952396833735,0.5664397241840087,1.0,1.4741490610652266
K3,11,11,55,24,3.4000000000000004,0.8812972423630006,291,2.8908368638319093,0.12227099112256257,1.0,1.4711834156359143
fixed,26,78,182,48,12.8,8.223488324537913,280,2.799516992679876,0.30413721896802137,1.0,1.470951361298332
fixed,8,32,32,51,6.800000000000001,0.6198468256642822,289,2.9044162451237243,0.09399664921619832,1.0,1.470848741839094
fixed,5,25,30,50,5.2,1.6936548288216264,559,2.89439391956424,0.11155998241309484,1.0,1.4701043464624723
K3,15,15,90,6,10.200000000000001,23.20162604575137,296,2.653700121081082,0.5858321525977743,1.0,1.4679697184279816
K3,14,14,84,6,9.8,26.177989933749718,312,2.6399066110971585,0.6126744451323471,1.0,1.4677463001979991
K3,13,13,78,2,10.5,30.4575093525735,350,2.61979530094786,0.6471640364011333,1.0,1.466026391489056
K3,25,50,175,48,14.5,8.280988294392694,283,2.789744252565977,0.30510626335616786,1.0,1.4653784305464364
K5,25,50,175,48,14.5,8.280988294392694,283,2.789744252565977,0.30510626335616786,1.0,1.4653784305464364
K8,25,50,175,48,14.5,8.280988294392694,283,2.789744252565977,0.30510626335616786,1.0,1.4653784305464364
K3,16,16,80,2,8.4,27.986750934195,327,2.6152561161167385,0.6277812091168666,1.0,1.457488032405103
